Run,Time(ms),Memory(Bytes)
1,24.328,7458816
2,24.376,7426048
3,25.048,7430144
4,24.686,7565312
5,24.454,7491584
6,25.289,7438336
7,24.582,7565312
8,24.416,7516160
9,24.875,7536640
10,149.865,7471104
11,25.204,7417856
12,148.559,7577600
13,24.573,7430144
14,149.228,7442432
15,25.662,7401472
16,24.370,7557120
17,24.463,7426048
18,24.316,7565312
19,24.410,7458816
20,24.657,7434240
21,24.132,7446528
22,24.364,7446528
23,149.225,7516160
24,24.436,7462912
25,148.837,7557120
26,23.938,7397376
27,148.992,7491584
28,24.971,7434240
29,24.811,7475200
30,24.460,7471104
31,25.981,7467008
32,24.215,7544832
33,24.380,7438336
34,24.928,7540736
35,25.489,7548928
36,24.995,7544832
37,24.638,7569408
38,150.100,7573504
39,25.463,7544832
40,149.869,7557120
41,23.864,7434240
42,149.256,7450624
43,24.536,7577600
44,24.998,7438336
45,26.141,7540736
46,24.511,7524352
47,24.707,7442432
48,24.040,7467008
49,24.171,7397376
50,25.086,7438336
51,148.207,7442432
52,24.845,7462912
53,149.535,7512064
54,25.701,7565312
55,149.886,7540736
56,24.205,7557120
57,25.429,7540736
58,25.485,7401472
59,25.171,7544832
60,24.573,7450624
61,23.844,7569408
62,24.863,7458816
63,24.842,7475200
64,25.145,7544832
65,25.380,7471104
66,150.112,7430144
67,24.994,7573504
68,148.398,7569408
69,25.924,7401472
70,150.605,7565312
71,24.117,7524352
72,24.835,7430144
73,25.035,7397376
74,24.584,7446528
75,24.877,7430144
76,25.100,7471104
77,24.808,7471104
78,24.716,7434240
79,26.098,7491584
80,24.524,7507968
81,151.745,7512064
82,25.823,7450624
83,149.419,7516160
84,25.699,7471104
85,148.794,7475200
86,25.319,7397376
87,24.530,7471104
88,24.831,7548928
89,25.451,7450624
90,26.014,7491584
91,24.852,7434240
92,24.597,7442432
93,24.845,7557120
94,25.090,7475200
95,24.489,7401472
96,148.620,7516160
97,25.364,7573504
98,149.842,7442432
99,25.266,7434240
100,149.505,7557120

Statistics:
Average Time,51.028 ms
Max Time,151.745 ms
Average Memory,7.140 MB
Max Memory,7.227 MB
