Run,Time(ms),Memory(Bytes)
1,557.286,7434240
2,562.998,7417856
3,561.211,7446528
4,564.505,7524352
5,559.827,7467008
6,558.619,7565312
7,558.630,7430144
8,559.979,7540736
9,560.592,7565312
10,560.886,7569408
11,562.472,7557120
12,561.025,7540736
13,560.631,7417856
14,566.492,7520256
15,565.497,7438336
16,568.944,7467008
17,696.879,7434240
18,695.093,7438336
19,687.982,7516160
20,691.108,7430144
21,692.816,7524352
22,989.450,7430144
23,971.647,7434240
24,816.858,7561216
25,805.621,7565312
26,780.783,7458816
27,773.726,7516160
28,560.318,7544832
29,559.787,7401472
30,560.531,7487488
31,563.620,7475200
32,559.133,7467008
33,564.560,7389184
34,565.808,7487488
35,560.840,7573504
36,559.441,7446528
37,689.552,7434240
38,683.919,7458816
39,684.269,7401472
40,686.121,7540736
41,686.805,7577600
42,686.919,7434240
43,688.958,7434240
44,685.680,7524352
45,702.562,7430144
46,689.845,7544832
47,683.814,7462912
48,687.485,7446528
49,683.519,7467008
50,561.570,7544832
51,562.156,7557120
52,564.737,7565312
53,559.436,7450624
54,562.252,7450624
55,566.936,7540736
56,583.027,7438336
57,563.559,7544832
58,562.414,7565312
59,560.027,7417856
60,562.913,7565312
61,730.514,7573504
62,683.867,7434240
63,686.891,7430144
64,565.218,7475200
65,688.154,7487488
66,562.926,7954432
67,691.674,7553024
68,685.517,7462912
69,688.499,7458816
70,687.284,7573504
71,690.729,7540736
72,560.885,7557120
73,558.129,7344128
74,563.432,7565312
75,563.441,7438336
76,562.967,7487488
77,562.203,7548928
78,561.699,7376896
79,561.623,7458816
80,562.037,7458816
81,566.455,7573504
82,563.053,7565312
83,563.224,7569408
84,560.483,7491584
85,561.229,7475200
86,560.418,7475200
87,561.261,7446528
88,564.270,7442432
89,558.204,7540736
90,564.047,7434240
91,568.942,7467008
92,562.303,7434240
93,686.636,7557120
94,685.963,7401472
95,692.954,7520256
96,685.767,7557120
97,565.362,7520256
98,561.972,7458816
99,564.283,7512064
100,687.023,7450624

Statistics:
Average Time,620.956 ms
Max Time,989.450 ms
Average Memory,7.146 MB
Max Memory,7.586 MB
