Run,Time(ms),Memory(Bytes)
1,31.184,7462912
2,30.764,7397376
3,155.842,7397376
4,30.476,7548928
5,30.560,7434240
6,30.241,7438336
7,30.323,7471104
8,154.954,7434240
9,30.423,7524352
10,30.797,7577600
11,154.859,7540736
12,30.725,7528448
13,30.756,7540736
14,156.081,7577600
15,30.994,7565312
16,30.683,7462912
17,30.361,7548928
18,31.347,7516160
19,30.982,7397376
20,30.488,7553024
21,30.809,7524352
22,155.807,7467008
23,30.716,7516160
24,30.498,7471104
25,155.952,7442432
26,31.063,7565312
27,30.660,7569408
28,155.045,7430144
29,30.759,7471104
30,30.542,7520256
31,30.809,7548928
32,30.444,7561216
33,31.018,7446528
34,30.512,7573504
35,30.159,7454720
36,155.208,7569408
37,30.743,7417856
38,30.911,7557120
39,156.259,7462912
40,30.745,7577600
41,31.061,7536640
42,155.273,7442432
43,30.395,7475200
44,30.270,7471104
45,30.520,7438336
46,31.108,7446528
47,155.254,7561216
48,31.157,7569408
49,30.462,7467008
50,155.895,7540736
51,30.592,7565312
52,30.706,7520256
53,155.612,7438336
54,30.460,7430144
55,30.729,7544832
56,154.994,7438336
57,31.432,7438336
58,30.676,7397376
59,30.526,7491584
60,30.388,7577600
61,155.656,7458816
62,30.504,7467008
63,31.501,7565312
64,155.628,7430144
65,30.753,7516160
66,30.858,7467008
67,156.023,7544832
68,30.292,7344128
69,30.957,7540736
70,155.192,7520256
71,31.327,7450624
72,31.164,7516160
73,30.631,7544832
74,30.689,7577600
75,156.927,7434240
76,30.424,7557120
77,31.288,7569408
78,155.176,7454720
79,30.462,7462912
80,31.053,7544832
81,155.295,7467008
82,30.889,7548928
83,30.876,7573504
84,155.153,7540736
85,30.877,7565312
86,30.478,7467008
87,30.292,7520256
88,30.410,7430144
89,30.728,7544832
90,30.932,7565312
91,30.654,7471104
92,156.531,7471104
93,30.468,7561216
94,30.755,7573504
95,155.186,7438336
96,30.819,7430144
97,30.617,7471104
98,155.103,7540736
99,30.654,7446528
100,30.615,7446528

Statistics:
Average Time,61.928 ms
Max Time,156.927 ms
Average Memory,7.152 MB
Max Memory,7.227 MB
