Run,Time(ms),Memory(Bytes)
1,713.603,7516160
2,718.714,7512064
3,589.020,7467008
4,719.496,7544832
5,716.531,7430144
6,718.324,7471104
7,593.007,7524352
8,716.516,7446528
9,713.236,7573504
10,716.614,7397376
11,591.019,7438336
12,717.883,7438336
13,713.527,7544832
14,712.735,7475200
15,589.916,7430144
16,715.689,7577600
17,719.648,7520256
18,594.823,7544832
19,717.419,7544832
20,714.426,7462912
21,714.080,7561216
22,717.147,7438336
23,589.879,7471104
24,721.757,7450624
25,717.454,7430144
26,591.620,7397376
27,714.714,7458816
28,714.667,7557120
29,714.580,7397376
30,714.601,7413760
31,723.438,7565312
32,715.577,7397376
33,717.737,7438336
34,590.340,7540736
35,715.797,7487488
36,714.217,7569408
37,714.949,7544832
38,590.206,7442432
39,722.671,7450624
40,587.888,7475200
41,715.424,7458816
42,714.609,7565312
43,714.272,7557120
44,716.915,7557120
45,585.607,7512064
46,714.294,7434240
47,714.880,7569408
48,714.407,7467008
49,588.435,7462912
50,716.387,7524352
51,719.068,7438336
52,715.523,7475200
53,594.062,7565312
54,715.204,7995392
55,719.466,7516160
56,716.233,7569408
57,592.860,7557120
58,718.450,7434240
59,593.523,7458816
60,589.601,7516160
61,724.414,7446528
62,714.021,7565312
63,589.894,7462912
64,713.494,7401472
65,717.710,7393280
66,713.710,7491584
67,716.664,7430144
68,717.770,7520256
69,723.599,7561216
70,715.159,7467008
71,587.139,7401472
72,714.706,7340032
73,718.497,7442432
74,717.433,7475200
75,589.265,7548928
76,716.183,7471104
77,588.932,7450624
78,717.030,7458816
79,718.748,7548928
80,714.895,7401472
81,590.333,7565312
82,715.335,7573504
83,714.105,7434240
84,715.710,7471104
85,718.373,7512064
86,715.325,7557120
87,716.044,7569408
88,714.648,7442432
89,719.541,7516160
90,716.509,7548928
91,589.389,7430144
92,713.314,7524352
93,719.363,7401472
94,715.789,7467008
95,594.947,7512064
96,717.246,7462912
97,717.197,7540736
98,591.760,7544832
99,717.315,7512064
100,717.645,7458816

Statistics:
Average Time,686.338 ms
Max Time,724.414 ms
Average Memory,7.146 MB
Max Memory,7.625 MB
