Run,Time(ms),Memory(Bytes)
1,1.894,6901760
2,1.946,7000064
3,2.405,7561216
4,2.328,7471104
5,2.124,7012352
6,2.281,7446528
7,2.300,6905856
8,2.185,7475200
9,2.433,7434240
10,1.984,6922240
11,2.144,7016448
12,2.209,7520256
13,2.093,7639040
14,2.359,7401472
15,2.251,7471104
16,2.088,7061504
17,2.269,7565312
18,2.308,7471104
19,2.207,7577600
20,2.093,6864896
21,2.294,7450624
22,2.203,6930432
23,1.949,6901760
24,2.355,7540736
25,2.297,7569408
26,2.263,7487488
27,2.443,7434240
28,1.965,7819264
29,2.482,7471104
30,2.289,7397376
31,1.945,6864896
32,2.142,7012352
33,2.451,7442432
34,2.113,6934528
35,2.124,6922240
36,1.821,6946816
37,2.153,7557120
38,2.304,6918144
39,2.541,7544832
40,2.299,7397376
41,2.146,6942720
42,2.461,7569408
43,2.358,7512064
44,2.010,7053312
45,1.916,6852608
46,2.077,7032832
47,2.248,7524352
48,2.259,7487488
49,1.982,7000064
50,2.239,6852608
51,2.203,7012352
52,2.151,7921664
53,2.133,6905856
54,2.209,6922240
55,2.047,7053312
56,2.132,7004160
57,2.254,6864896
58,2.193,7548928
59,2.237,7561216
60,2.014,6955008
61,2.155,7004160
62,2.210,7917568
63,2.418,7434240
64,2.227,6942720
65,2.053,7032832
66,2.398,7458816
67,2.608,7548928
68,2.087,7004160
69,1.969,6864896
70,2.201,6905856
71,2.164,7557120
72,2.387,7516160
73,2.158,6905856
74,2.374,7487488
75,2.160,6942720
76,2.214,7540736
77,2.472,7548928
78,2.278,7561216
79,2.210,6918144
80,2.407,7401472
81,2.350,7512064
82,2.204,6852608
83,2.272,7475200
84,2.507,7544832
85,2.127,6930432
86,2.003,6946816
87,2.153,7544832
88,2.265,7565312
89,2.242,7569408
90,121.501,7016448
91,2.214,6852608
92,2.068,7008256
93,2.453,7548928
94,2.165,6918144
95,2.295,7512064
96,2.147,6873088
97,2.151,7434240
98,2.206,7917568
99,2.405,7446528
100,122.989,6905856

Statistics:
Average Time,4.615 ms
Max Time,122.989 ms
Average Memory,6.921 MB
Max Memory,7.555 MB
