Run,Time(ms),Memory(Bytes)
1,1.124,7008256
2,1.092,7028736
3,1.095,6914048
4,1.074,7057408
5,1.173,6905856
6,0.983,6905856
7,0.733,6897664
8,0.720,6848512
9,0.728,6938624
10,0.679,6918144
11,0.691,6995968
12,0.750,6938624
13,0.712,6955008
14,0.718,6918144
15,0.681,6905856
16,0.889,6942720
17,0.758,6938624
18,0.705,7000064
19,0.672,6811648
20,0.667,7028736
21,0.735,6955008
22,0.721,7004160
23,0.690,7045120
24,0.689,6901760
25,0.785,6995968
26,0.721,6995968
27,0.738,6942720
28,0.714,7028736
29,0.679,7045120
30,0.718,6926336
31,0.715,6955008
32,0.720,7008256
33,0.721,6860800
34,0.773,6938624
35,0.715,7045120
36,0.713,6995968
37,0.733,6832128
38,0.724,6914048
39,2.097,6901760
40,0.741,6930432
41,0.752,7000064
42,0.757,6914048
43,0.721,6926336
44,0.755,6914048
45,0.730,7004160
46,0.667,7000064
47,0.760,7053312
48,0.743,7008256
49,0.690,6914048
50,0.711,6918144
51,0.681,6955008
52,0.762,6930432
53,0.727,6914048
54,0.720,6848512
55,0.715,6914048
56,0.684,6914048
57,0.689,6881280
58,0.716,6860800
59,0.747,7004160
60,0.682,6942720
61,0.716,7000064
62,0.740,6918144
63,0.687,6918144
64,0.773,6848512
65,0.716,6848512
66,0.724,6995968
67,0.801,6914048
68,0.727,6860800
69,0.723,6930432
70,0.707,6897664
71,0.701,7057408
72,0.686,6885376
73,0.706,6942720
74,0.759,7028736
75,0.709,6950912
76,0.700,7049216
77,0.708,7000064
78,0.757,6914048
79,0.771,6848512
80,0.691,6852608
81,0.664,7053312
82,0.710,6926336
83,0.676,6897664
84,0.682,6918144
85,0.762,6930432
86,0.707,6926336
87,0.689,6938624
88,0.833,7057408
89,0.679,6848512
90,0.675,6950912
91,0.713,6901760
92,0.711,7032832
93,0.706,7004160
94,1.091,6995968
95,0.714,6901760
96,0.690,6950912
97,0.712,6860800
98,0.698,6848512
99,0.723,7053312
100,0.718,6942720

Statistics:
Average Time,0.760 ms
Max Time,2.097 ms
Average Memory,6.623 MB
Max Memory,6.730 MB
