Run,Time(ms),Memory(Bytes)
1,7.211,6926336
2,7.117,7008256
3,7.277,6897664
4,7.320,6856704
5,7.393,6901760
6,7.207,7004160
7,7.568,6901760
8,7.468,6926336
9,7.032,6914048
10,7.092,6893568
11,7.090,6938624
12,7.111,6860800
13,7.278,6848512
14,7.207,7028736
15,7.169,7008256
16,7.109,7032832
17,7.069,7000064
18,7.403,7045120
19,7.166,6995968
20,7.141,6918144
21,7.176,7000064
22,7.101,7045120
23,7.150,6856704
24,7.062,6893568
25,7.428,7028736
26,7.416,7053312
27,7.130,6938624
28,7.200,7004160
29,7.311,6918144
30,7.094,6860800
31,7.346,6914048
32,7.121,6901760
33,7.143,6844416
34,7.271,7012352
35,7.062,6938624
36,7.177,7045120
37,7.190,7057408
38,7.117,7008256
39,7.012,7049216
40,7.082,6930432
41,7.073,6942720
42,7.074,6897664
43,7.354,7053312
44,7.036,6918144
45,7.058,6918144
46,7.057,6852608
47,7.364,7053312
48,7.126,6897664
49,7.078,6897664
50,7.064,6942720
51,7.172,7004160
52,7.064,7000064
53,7.100,6942720
54,7.241,7057408
55,7.207,7049216
56,132.799,6860800
57,7.221,6930432
58,7.173,6897664
59,7.199,6950912
60,7.168,6938624
61,7.094,6918144
62,7.414,6938624
63,132.500,7045120
64,7.330,6995968
65,7.147,6848512
66,7.317,6938624
67,7.403,7000064
68,6.981,7045120
69,7.243,6914048
70,7.076,6942720
71,7.330,6914048
72,7.125,7000064
73,7.134,6914048
74,7.190,6955008
75,7.127,7049216
76,7.082,7008256
77,7.071,6950912
78,132.918,7028736
79,7.132,6918144
80,132.398,7000064
81,7.115,6848512
82,7.186,7053312
83,7.155,6938624
84,7.197,6901760
85,7.130,7008256
86,7.016,6950912
87,7.158,7008256
88,7.285,7057408
89,7.116,6950912
90,7.228,6905856
91,7.164,7057408
92,7.119,6918144
93,7.184,7000064
94,7.149,6901760
95,7.138,7045120
96,7.260,6926336
97,7.056,6930432
98,7.239,6901760
99,12.547,7000064
100,7.110,6938624

Statistics:
Average Time,12.252 ms
Max Time,132.918 ms
Average Memory,6.636 MB
Max Memory,6.730 MB
