Run,Time(ms),Memory(Bytes)
1,762.028,9433088
2,762.125,9351168
3,761.256,9506816
4,761.035,9408512
5,760.907,9306112
6,760.542,9404416
7,759.239,9302016
8,759.202,9420800
9,761.082,9330688
10,760.340,9302016
11,759.620,9293824
12,760.936,9277440
13,760.732,9408512
14,761.194,9515008
15,887.141,9367552
16,761.877,9453568
17,763.075,9457664
18,765.073,9506816
19,763.057,9420800
20,760.788,9506816
21,759.139,9515008
22,759.946,9330688
23,887.075,9515008
24,762.725,9396224
25,886.242,9293824
26,760.918,9506816
27,761.308,9428992
28,761.308,9392128
29,760.336,9453568
30,759.532,9326592
31,757.921,9408512
32,763.540,9437184
33,762.104,9293824
34,762.535,9420800
35,886.180,9420800
36,762.350,9457664
37,762.777,9519104
38,762.914,9408512
39,762.285,9457664
40,760.831,9330688
41,763.380,9457664
42,761.928,9515008
43,761.750,9400320
44,764.095,9457664
45,760.577,9318400
46,760.899,9273344
47,761.977,9515008
48,887.231,9302016
49,760.299,9506816
50,775.791,9412608
51,761.102,9330688
52,759.264,9515008
53,886.410,9314304
54,759.934,9420800
55,883.167,9506816
56,757.175,9461760
57,755.033,9330688
58,761.182,9318400
59,761.216,9273344
60,761.435,9408512
61,761.942,9306112
62,888.079,9322496
63,761.894,9306112
64,762.908,9326592
65,761.046,9400320
66,762.028,9408512
67,763.569,9424896
68,759.696,9506816
69,762.325,9433088
70,761.840,9404416
71,762.394,9330688
72,885.986,9408512
73,763.078,9318400
74,763.461,9420800
75,763.134,9388032
76,762.041,9404416
77,762.283,9388032
78,760.669,9420800
79,887.643,9515008
80,761.900,9388032
81,763.983,9326592
82,759.330,9408512
83,761.963,9306112
84,761.541,9326592
85,759.718,9293824
86,761.061,9506816
87,885.884,9367552
88,762.362,9400320
89,761.904,9515008
90,761.149,9457664
91,758.633,9326592
92,762.389,9330688
93,761.442,9420800
94,760.549,9433088
95,763.270,9326592
96,761.364,9400320
97,761.578,9420800
98,761.878,9457664
99,759.324,9297920
100,758.718,9293824

Statistics:
Average Time,775.230 ms
Max Time,888.079 ms
Average Memory,8.962 MB
Max Memory,9.078 MB
