Run,Time(ms),Memory(Bytes)
1,0.259,6914048
2,0.217,6914048
3,0.215,7016448
4,0.217,6578176
5,0.259,6856704
6,0.240,6938624
7,0.224,7045120
8,0.223,6578176
9,0.220,7049216
10,0.219,6938624
11,0.220,6656000
12,0.216,7008256
13,0.232,6778880
14,0.218,6901760
15,0.224,6647808
16,0.216,6938624
17,0.230,6856704
18,0.224,6742016
19,0.218,7000064
20,0.220,6930432
21,0.218,6578176
22,0.220,6668288
23,0.224,6930432
24,0.223,6729728
25,0.217,6938624
26,0.214,7028736
27,0.218,6938624
28,0.224,6995968
29,0.219,6631424
30,0.215,6848512
31,0.237,6643712
32,0.216,6860800
33,0.223,6848512
34,0.216,7028736
35,0.216,6930432
36,0.224,6918144
37,0.261,6860800
38,0.219,6926336
39,0.220,6586368
40,0.221,6631424
41,0.223,6901760
42,0.222,6897664
43,0.221,7053312
44,0.221,6848512
45,0.217,6918144
46,0.217,6995968
47,0.227,6729728
48,0.217,6643712
49,0.225,6942720
50,0.255,6848512
51,0.215,7057408
52,0.220,7012352
53,0.219,6660096
54,0.231,7012352
55,0.221,6762496
56,0.225,6647808
57,0.249,6643712
58,0.223,6778880
59,0.224,7004160
60,0.221,7028736
61,0.216,6782976
62,0.219,6742016
63,0.218,6914048
64,0.221,7004160
65,0.232,6938624
66,0.223,7057408
67,0.225,6742016
68,0.226,7000064
69,0.220,6856704
70,0.222,6848512
71,0.217,6905856
72,0.219,6852608
73,0.215,6901760
74,0.215,6856704
75,0.218,7045120
76,0.217,6959104
77,0.219,6918144
78,0.232,6578176
79,0.234,7045120
80,0.220,6774784
81,0.223,6471680
82,0.250,6938624
83,0.226,7008256
84,0.224,6938624
85,0.217,6918144
86,0.222,6950912
87,0.224,6782976
88,0.223,6995968
89,0.300,217088
90,0.263,6918144
91,0.221,6918144
92,0.214,6856704
93,0.237,6938624
94,0.223,7000064
95,0.222,6918144
96,0.269,6852608
97,0.231,6942720
98,0.261,6938624
99,0.218,6848512
100,0.227,6668288

Statistics:
Average Time,0.226 ms
Max Time,0.300 ms
Average Memory,6.484 MB
Max Memory,6.730 MB
