Run,Time(ms),Memory(Bytes)
1,36.352,7479296
2,35.929,7360512
3,160.550,7335936
4,36.571,7348224
5,35.724,7380992
6,160.943,7475200
7,36.224,7323648
8,36.090,7487488
9,160.631,7487488
10,36.044,7495680
11,35.969,7446528
12,160.558,7290880
13,36.336,7503872
14,36.630,7348224
15,36.108,7495680
16,160.851,7380992
17,35.812,7376896
18,36.152,7356416
19,160.439,7495680
20,36.933,7487488
21,36.237,7487488
22,161.168,7376896
23,35.920,7303168
24,36.050,7372800
25,161.013,7303168
26,35.970,7397376
27,36.002,7356416
28,161.426,7348224
29,35.833,7262208
30,35.999,7499776
31,36.364,7380992
32,35.844,7503872
33,35.765,7319552
34,35.754,7397376
35,160.969,7409664
36,36.942,7495680
37,36.328,7348224
38,161.071,7475200
39,36.056,7393280
40,36.136,7290880
41,161.630,7385088
42,35.978,7475200
43,36.544,7446528
44,160.775,7389184
45,35.956,7319552
46,36.245,7290880
47,36.254,7446528
48,36.166,7475200
49,36.013,7475200
50,36.645,7446528
51,161.078,7503872
52,36.462,7290880
53,36.969,7450624
54,160.655,7528448
55,36.194,7319552
56,36.078,7475200
57,160.815,7356416
58,36.264,7348224
59,36.527,7487488
60,162.284,7507968
61,35.871,7503872
62,36.027,7380992
63,36.377,7290880
64,161.457,7290880
65,36.040,7356416
66,36.072,7348224
67,160.859,7446528
68,36.040,7475200
69,36.458,7409664
70,160.691,7454720
71,36.328,7483392
72,36.043,7507968
73,160.109,7348224
74,36.354,7389184
75,36.154,7487488
76,161.196,7495680
77,36.225,7319552
78,36.247,7311360
79,36.322,7491584
80,160.801,7487488
81,35.980,7487488
82,36.296,7413760
83,160.976,7462912
84,36.037,7397376
85,36.297,7290880
86,161.391,7487488
87,36.055,7360512
88,36.069,7303168
89,162.263,7385088
90,36.549,7389184
91,36.266,7319552
92,36.064,7389184
93,160.728,7499776
94,36.793,7495680
95,36.495,7487488
96,160.918,7401472
97,36.219,7319552
98,36.134,7442432
99,161.404,7376896
100,36.103,7372800

Statistics:
Average Time,72.399 ms
Max Time,162.284 ms
Average Memory,7.065 MB
Max Memory,7.180 MB
