Run,Time(ms),Memory(Bytes)
1,945.197,9396224
2,946.964,9396224
3,949.663,9568256
4,821.804,9469952
5,820.106,9396224
6,821.087,9465856
7,821.204,9580544
8,944.807,9396224
9,947.633,9568256
10,820.902,9428992
11,819.511,9424896
12,818.646,9490432
13,816.616,9572352
14,819.597,9551872
15,943.804,9465856
16,942.105,9379840
17,947.712,9584640
18,943.372,9551872
19,944.320,9367552
20,943.499,9379840
21,943.992,9424896
22,816.933,9396224
23,818.772,9437184
24,943.466,9457664
25,943.294,9572352
26,943.981,9433088
27,945.048,9338880
28,943.615,9474048
29,943.726,9555968
30,942.913,9396224
31,947.498,9474048
32,817.050,9527296
33,816.780,9396224
34,944.857,9457664
35,946.974,9572352
36,944.241,9424896
37,943.552,9457664
38,945.424,9580544
39,950.156,9424896
40,819.591,9523200
41,818.072,9551872
42,817.993,9572352
43,820.267,9539584
44,942.520,9564160
45,827.596,9433088
46,819.190,9564160
47,818.320,9474048
48,952.865,9580544
49,945.482,9523200
50,943.804,9424896
51,945.078,9461760
52,948.126,9527296
53,944.631,9555968
54,945.678,9572352
55,945.135,9433088
56,942.500,9428992
57,945.076,9461760
58,818.277,9371648
59,816.477,9457664
60,819.412,9551872
61,817.468,9474048
62,946.782,9523200
63,943.906,9388032
64,941.994,9474048
65,944.361,9383936
66,941.071,9465856
67,944.866,9461760
68,944.824,9478144
69,946.509,9564160
70,946.675,9465856
71,821.358,9465856
72,819.784,9523200
73,817.975,9359360
74,821.207,9474048
75,816.719,9433088
76,944.846,9572352
77,970.358,9433088
78,814.878,9527296
79,815.446,9539584
80,817.858,9396224
81,816.333,9539584
82,816.800,9371648
83,819.310,9453568
84,821.195,9523200
85,818.289,9523200
86,818.164,9396224
87,941.070,9572352
88,943.860,9379840
89,944.494,9519104
90,945.971,9457664
91,945.325,9568256
92,943.126,9580544
93,945.664,9400320
94,942.847,9572352
95,941.606,9367552
96,944.015,9572352
97,819.162,9437184
98,818.473,9396224
99,817.845,9523200
100,818.659,9486336

Statistics:
Average Time,892.180 ms
Max Time,970.358 ms
Average Memory,9.039 MB
Max Memory,9.141 MB
