Run,Time(ms),Memory(Bytes)
1,0.008,7000064
2,0.009,7008256
3,0.009,6590464
4,0.009,6373376
5,0.009,6725632
6,0.009,6942720
7,0.009,6778880
8,0.009,6643712
9,0.009,7057408
10,0.008,6897664
11,0.009,6680576
12,0.009,6901760
13,0.009,7000064
14,0.009,6852608
15,0.009,6950912
16,0.010,6586368
17,0.009,6856704
18,0.010,7000064
19,0.008,6955008
20,0.008,6725632
21,0.009,6926336
22,0.009,7053312
23,0.009,6856704
24,0.009,6631424
25,0.008,6578176
26,0.039,6918144
27,0.011,6926336
28,0.008,6668288
29,0.008,6938624
30,0.008,6729728
31,0.009,6635520
32,0.009,6647808
33,0.010,6848512
34,0.009,6848512
35,0.009,7000064
36,0.008,7012352
37,0.008,7053312
38,0.008,7028736
39,0.008,6918144
40,0.009,7049216
41,0.009,6901760
42,0.008,7045120
43,0.008,7028736
44,0.009,7004160
45,0.008,6955008
46,0.053,6914048
47,0.008,6901760
48,0.013,7008256
49,0.009,7053312
50,0.008,7032832
51,0.009,7053312
52,0.009,7045120
53,0.008,6459392
54,0.008,6848512
55,0.008,7004160
56,0.008,6905856
57,0.009,6901760
58,0.008,6918144
59,0.009,7045120
60,0.008,6918144
61,0.008,6938624
62,0.008,6643712
63,0.009,6717440
64,0.009,6995968
65,0.008,6930432
66,0.009,6995968
67,0.008,6942720
68,0.009,6901760
69,0.010,6455296
70,0.010,6782976
71,0.009,7053312
72,0.009,6938624
73,0.010,6680576
74,0.008,7028736
75,0.009,6848512
76,0.008,6926336
77,0.008,6942720
78,0.009,6926336
79,0.008,6918144
80,0.009,7049216
81,0.009,7053312
82,0.008,6578176
83,0.009,6930432
84,0.009,7032832
85,0.009,6918144
86,0.008,6737920
87,0.009,6914048
88,0.009,6582272
89,0.010,7032832
90,0.009,6881280
91,0.009,6729728
92,0.009,6729728
93,0.008,6668288
94,0.009,6778880
95,0.008,6938624
96,0.008,7032832
97,0.008,6758400
98,0.009,7757824
99,0.008,6930432
100,0.009,6782976

Statistics:
Average Time,0.009 ms
Max Time,0.053 ms
Average Memory,6.562 MB
Max Memory,7.398 MB
