Run,Time(ms),Memory(Bytes)
1,3.431,6914048
2,3.345,6930432
3,3.326,6938624
4,3.361,6868992
5,3.325,6918144
6,3.367,7057408
7,3.391,6914048
8,3.378,6995968
9,3.353,6860800
10,3.321,7032832
11,3.471,7000064
12,3.317,6897664
13,3.320,6926336
14,3.358,7057408
15,3.419,7053312
16,3.379,6914048
17,3.395,7000064
18,3.425,6848512
19,3.359,7049216
20,3.400,7032832
21,3.404,7045120
22,3.352,6918144
23,3.356,6959104
24,3.396,6938624
25,3.375,6848512
26,3.345,6926336
27,3.367,6926336
28,3.493,6918144
29,3.492,6950912
30,3.411,6897664
31,3.386,6881280
32,3.321,6975488
33,3.341,6914048
34,3.367,6897664
35,3.334,6836224
36,3.382,6926336
37,3.394,6848512
38,3.325,6955008
39,3.536,6856704
40,3.336,7008256
41,128.918,7753728
42,3.493,6938624
43,3.370,6860800
44,3.357,7032832
45,3.350,6905856
46,3.433,6848512
47,3.366,6897664
48,3.455,6926336
49,3.386,6860800
50,3.366,7032832
51,3.310,7045120
52,3.361,6856704
53,3.344,6938624
54,3.368,7000064
55,3.466,7004160
56,3.343,7000064
57,3.404,6901760
58,3.335,6938624
59,3.385,6914048
60,3.361,6995968
61,3.341,7004160
62,3.404,6975488
63,3.370,6942720
64,3.331,6901760
65,3.479,6942720
66,3.394,7008256
67,3.466,7004160
68,3.456,6897664
69,3.320,6856704
70,3.380,6955008
71,3.418,6897664
72,3.393,6955008
73,3.386,6926336
74,3.496,7028736
75,3.490,6901760
76,3.365,7008256
77,3.410,7000064
78,3.372,7045120
79,3.372,6926336
80,3.358,7000064
81,3.338,6918144
82,3.367,6848512
83,3.595,6881280
84,3.329,6909952
85,3.389,7032832
86,3.372,6905856
87,3.364,6918144
88,3.369,7016448
89,3.356,6995968
90,3.362,7008256
91,3.343,7028736
92,3.448,6914048
93,3.340,7053312
94,3.369,7045120
95,3.623,6856704
96,3.438,7000064
97,129.903,6848512
98,3.359,6914048
99,3.381,6918144
100,3.402,7057408

Statistics:
Average Time,5.908 ms
Max Time,129.903 ms
Average Memory,6.633 MB
Max Memory,7.395 MB
