Run,Time(ms),Memory(Bytes)
1,2.352,6860800
2,2.354,6914048
3,2.356,7045120
4,2.336,7307264
5,2.333,6905856
6,2.379,6852608
7,2.421,7057408
8,2.384,6942720
9,2.361,7323648
10,2.378,6901760
11,2.431,7262208
12,2.425,7401472
13,2.420,6926336
14,2.396,6901760
15,2.385,7237632
16,2.398,7217152
17,2.441,6852608
18,2.363,6938624
19,2.467,6918144
20,2.421,7045120
21,2.391,7000064
22,2.360,6930432
23,2.387,6852608
24,2.382,6860800
25,2.387,6856704
26,2.370,6918144
27,2.354,6938624
28,2.417,7401472
29,2.387,7028736
30,2.358,6942720
31,2.348,6897664
32,2.380,6938624
33,2.382,7233536
34,2.381,7303168
35,2.392,7270400
36,2.402,7032832
37,2.403,7053312
38,2.411,7049216
39,2.352,7270400
40,2.427,7233536
41,2.411,7000064
42,2.368,6942720
43,2.358,6905856
44,2.378,7217152
45,2.580,6942720
46,2.379,7208960
47,2.338,7417856
48,2.345,7389184
49,2.383,7294976
50,2.395,6905856
51,2.406,6852608
52,2.338,6934528
53,2.353,7053312
54,2.370,7233536
55,2.346,6926336
56,2.386,7294976
57,2.404,6942720
58,2.331,7323648
59,2.354,6848512
60,121.855,7053312
61,2.409,7004160
62,2.361,6860800
63,2.365,7204864
64,2.431,7208960
65,2.490,7409664
66,2.362,7303168
67,2.351,7311360
68,2.372,6942720
69,2.391,7421952
70,122.740,6930432
71,2.379,7323648
72,2.392,6905856
73,2.392,6860800
74,2.478,7045120
75,2.445,7360512
76,2.362,6901760
77,2.344,6901760
78,2.360,7000064
79,2.367,7409664
80,2.375,6918144
81,2.390,7303168
82,2.443,7307264
83,2.427,7204864
84,2.373,6897664
85,2.379,6938624
86,2.359,7311360
87,2.381,7417856
88,2.391,6905856
89,2.400,6918144
90,2.365,7323648
91,2.366,7012352
92,2.450,6942720
93,2.383,7303168
94,2.374,7323648
95,2.387,6930432
96,2.370,6914048
97,2.377,7409664
98,2.391,7778304
99,2.406,6955008
100,2.449,6942720

Statistics:
Average Time,4.786 ms
Max Time,122.740 ms
Average Memory,6.759 MB
Max Memory,7.418 MB
