Run,Time(ms),Memory(Bytes)
1,2.578,7045120
2,2.602,6918144
3,2.594,6860800
4,2.579,6914048
5,2.658,6852608
6,2.552,7049216
7,2.767,6950912
8,2.670,6918144
9,2.584,6864896
10,2.707,7028736
11,2.586,6848512
12,2.639,6856704
13,2.642,6938624
14,2.847,7233536
15,2.582,7045120
16,2.545,6901760
17,2.928,6914048
18,2.610,6856704
19,2.599,6926336
20,2.641,6930432
21,2.557,6901760
22,2.580,6914048
23,2.574,6926336
24,2.594,6901760
25,2.568,6893568
26,2.590,7028736
27,2.595,7045120
28,2.562,6893568
29,2.564,6938624
30,2.634,6901760
31,2.610,6860800
32,2.600,7049216
33,2.636,7311360
34,2.796,6930432
35,2.677,6856704
36,2.605,7049216
37,2.697,6938624
38,2.623,7028736
39,2.717,7000064
40,2.590,6938624
41,2.605,6942720
42,2.622,6897664
43,2.603,6914048
44,118.296,6926336
45,2.554,6995968
46,2.588,6995968
47,2.614,7004160
48,2.577,6955008
49,2.604,6938624
50,2.692,6901760
51,2.557,6897664
52,2.556,6905856
53,2.541,6914048
54,2.581,6991872
55,2.593,6995968
56,2.730,7004160
57,2.738,7057408
58,2.562,6905856
59,2.559,6881280
60,2.568,6897664
61,2.637,6901760
62,2.595,6942720
63,2.568,6955008
64,2.568,7057408
65,2.606,6901760
66,2.595,6975488
67,118.983,6938624
68,2.566,6938624
69,2.609,7004160
70,2.689,6955008
71,2.553,6922240
72,2.591,6938624
73,2.645,7012352
74,2.568,6848512
75,2.569,7012352
76,2.621,6901760
77,2.567,7057408
78,2.570,7004160
79,2.655,6950912
80,2.570,7008256
81,2.580,6848512
82,2.592,6840320
83,2.581,7028736
84,2.688,7028736
85,2.576,6918144
86,2.570,7045120
87,2.617,7028736
88,2.600,6811648
89,2.634,6901760
90,2.647,7053312
91,2.573,7004160
92,2.593,6914048
93,2.577,7008256
94,2.692,6938624
95,2.556,6901760
96,2.630,6860800
97,2.602,6918144
98,2.599,7045120
99,2.583,6942720
100,2.597,6914048

Statistics:
Average Time,4.934 ms
Max Time,118.983 ms
Average Memory,6.631 MB
Max Memory,6.973 MB
