Run,Time(ms),Memory(Bytes)
1,835.296,15556608
2,966.269,15589376
3,957.897,15470592
4,964.030,15470592
5,957.509,15486976
6,829.450,15585280
7,831.505,15572992
8,958.174,15675392
9,956.521,15446016
10,956.690,15470592
11,954.388,15568896
12,955.369,15581184
13,830.096,15589376
14,830.561,15474688
15,826.580,15499264
16,953.392,15486976
17,955.022,15577088
18,953.867,15499264
19,959.478,15597568
20,832.311,15478784
21,832.775,15577088
22,824.632,15486976
23,829.670,15593472
24,824.199,15675392
25,956.942,15486976
26,956.223,15491072
27,956.669,15560704
28,955.110,15589376
29,963.810,15486976
30,957.097,15482880
31,953.856,15474688
32,960.556,15589376
33,962.597,15503360
34,834.474,15585280
35,827.812,15667200
36,959.696,15577088
37,1018.910,15675392
38,959.255,15585280
39,960.265,15515648
40,958.332,15675392
41,829.222,15478784
42,832.694,15675392
43,831.824,15626240
44,962.677,15474688
45,962.299,15577088
46,955.788,15589376
47,959.471,15679488
48,834.852,15679488
49,836.385,15581184
50,837.049,15601664
51,963.263,15499264
52,962.465,15474688
53,961.768,15593472
54,1214.060,15572992
55,842.332,15675392
56,957.360,15470592
57,959.327,15597568
58,958.757,15478784
59,963.324,15585280
60,962.754,15486976
61,834.335,15589376
62,833.087,15572992
63,965.041,15675392
64,964.839,15568896
65,964.167,15499264
66,840.519,15572992
67,993.306,15478784
68,963.469,15572992
69,836.602,15589376
70,838.447,15470592
71,976.235,15548416
72,965.344,15478784
73,964.509,15548416
74,845.129,15556608
75,970.003,15589376
76,973.527,15486976
77,961.928,15589376
78,849.923,15589376
79,968.995,15568896
80,963.313,15585280
81,964.634,15597568
82,967.114,15671296
83,844.349,15589376
84,967.506,15499264
85,970.816,15589376
86,846.186,15499264
87,963.167,15667200
88,966.921,15491072
89,962.035,15478784
90,966.472,15577088
91,834.307,15601664
92,959.934,15585280
93,969.837,15581184
94,963.428,15486976
95,836.961,15474688
96,838.148,15671296
97,958.697,15572992
98,965.111,15601664
99,960.082,15675392
100,843.197,15585280

Statistics:
Average Time,923.266 ms
Max Time,1214.060 ms
Average Memory,14.839 MB
Max Memory,14.953 MB
