Run,Time(ms),Memory(Bytes)
1,44.890,8245248
2,45.941,8200192
3,169.786,8323072
4,170.689,8273920
5,45.460,8298496
6,46.053,8372224
7,171.728,8237056
8,171.152,8327168
9,45.394,8380416
10,46.392,8241152
11,45.816,8343552
12,171.982,8261632
13,45.340,8372224
14,45.669,8257536
15,46.231,8372224
16,170.617,8192000
17,45.290,8347648
18,44.842,8187904
19,46.146,8200192
20,171.349,8257536
21,171.727,8257536
22,46.184,8232960
23,46.394,8261632
24,169.935,8224768
25,172.957,8294400
26,46.118,8327168
27,46.821,8343552
28,46.618,8265728
29,169.360,8327168
30,170.262,8364032
31,45.728,8290304
32,45.585,8294400
33,170.697,8187904
34,173.405,8204288
35,45.291,8359936
36,45.417,8278016
37,45.734,8294400
38,169.862,8368128
39,44.792,8241152
40,45.851,8372224
41,46.089,8269824
42,170.785,8425472
43,171.725,8351744
44,46.028,8204288
45,47.110,8372224
46,46.284,8261632
47,170.942,8372224
48,44.652,8179712
49,44.556,8245248
50,44.900,8261632
51,169.790,8273920
52,45.421,8261632
53,45.335,8359936
54,44.906,8261632
55,170.173,8368128
56,44.519,8245248
57,45.235,8347648
58,44.678,8179712
59,170.234,8183808
60,44.903,8257536
61,45.735,8232960
62,47.030,8200192
63,169.079,8351744
64,170.207,8331264
65,45.754,8245248
66,45.654,8241152
67,170.300,8257536
68,170.742,8241152
69,44.899,8376320
70,45.462,8290304
71,171.459,8294400
72,171.499,8323072
73,46.052,8364032
74,44.547,8265728
75,45.743,8126464
76,170.681,8294400
77,44.698,8290304
78,45.261,8196096
79,45.350,8200192
80,169.910,8257536
81,45.812,8237056
82,44.613,8273920
83,44.744,8323072
84,170.936,8245248
85,45.065,8380416
86,62.895,8241152
87,45.100,8364032
88,45.284,8208384
89,171.559,8245248
90,170.514,8220672
91,45.672,8273920
92,45.178,8347648
93,170.859,8204288
94,170.265,8175616
95,45.444,8257536
96,45.156,8179712
97,169.939,8368128
98,170.368,8327168
99,46.294,8364032
100,45.212,8273920

Statistics:
Average Time,90.787 ms
Max Time,173.405 ms
Average Memory,7.897 MB
Max Memory,8.035 MB
