Run,Time(ms),Memory(Bytes)
1,2.955,7000064
2,2.402,6950912
3,2.364,7008256
4,2.361,7000064
5,2.398,7311360
6,2.397,7270400
7,2.350,7417856
8,2.388,6942720
9,2.369,7290880
10,2.405,6905856
11,2.476,7000064
12,2.488,6995968
13,2.449,7045120
14,2.419,6918144
15,2.507,7417856
16,2.420,6942720
17,2.384,7409664
18,2.392,7053312
19,2.394,7405568
20,2.402,7393280
21,2.404,6938624
22,2.397,7032832
23,2.379,7376896
24,2.370,7409664
25,2.376,6901760
26,2.384,7360512
27,2.434,7299072
28,2.468,7008256
29,2.394,6918144
30,123.670,7028736
31,2.403,7012352
32,2.412,6995968
33,2.334,6942720
34,2.355,6848512
35,2.382,6942720
36,2.441,7270400
37,2.434,7028736
38,2.367,6950912
39,2.411,6942720
40,2.387,7057408
41,2.382,7008256
42,2.440,6914048
43,2.362,7204864
44,2.454,6995968
45,2.443,6918144
46,2.380,7254016
47,2.401,6938624
48,2.372,7241728
49,2.366,7004160
50,2.382,7000064
51,2.374,6918144
52,2.345,6860800
53,2.395,7000064
54,2.365,7053312
55,2.404,7045120
56,3.330,7405568
57,3.667,6918144
58,3.524,7004160
59,3.127,6950912
60,2.389,6930432
61,2.446,6938624
62,2.361,7270400
63,2.454,6905856
64,2.391,7233536
65,2.398,6926336
66,2.401,6901760
67,2.346,6938624
68,2.337,7323648
69,2.387,6918144
70,2.374,7254016
71,2.376,6934528
72,2.416,7294976
73,2.398,7032832
74,2.439,6848512
75,2.393,7233536
76,2.498,6848512
77,2.394,7028736
78,2.403,6938624
79,2.398,7278592
80,2.381,7401472
81,2.378,7049216
82,2.380,7774208
83,2.458,7299072
84,2.359,7315456
85,2.411,7294976
86,2.403,7270400
87,2.386,7045120
88,2.338,7053312
89,2.396,7053312
90,2.379,6905856
91,2.389,7049216
92,2.393,7032832
93,2.449,6914048
94,2.369,7626752
95,2.373,7409664
96,2.406,7004160
97,2.375,6848512
98,2.377,7049216
99,2.458,6901760
100,2.407,7213056

Statistics:
Average Time,3.657 ms
Max Time,123.670 ms
Average Memory,6.762 MB
Max Memory,7.414 MB
