Run,Time(ms),Memory(Bytes)
1,1.056,6901760
2,1.008,6938624
3,1.045,6914048
4,1.053,6938624
5,1.040,6942720
6,1.060,6950912
7,1.123,6955008
8,1.041,7057408
9,1.047,7032832
10,1.081,6914048
11,1.090,7774208
12,1.119,6955008
13,1.041,6860800
14,1.049,6955008
15,1.050,7057408
16,1.065,7012352
17,1.043,7057408
18,1.040,6914048
19,1.074,7049216
20,1.053,6942720
21,1.061,7004160
22,1.055,6889472
23,1.250,6914048
24,1.105,7032832
25,1.043,6901760
26,1.042,6897664
27,1.060,6938624
28,1.067,7028736
29,1.046,7012352
30,1.132,7028736
31,1.070,6938624
32,1.118,6938624
33,1.086,6959104
34,1.084,7000064
35,1.214,7045120
36,1.040,6950912
37,1.044,7045120
38,1.041,6807552
39,1.025,6856704
40,1.071,6938624
41,1.074,7057408
42,1.055,7028736
43,1.090,7032832
44,1.075,7000064
45,1.078,6938624
46,1.091,7004160
47,1.105,6836224
48,1.053,6926336
49,1.044,6852608
50,1.052,6914048
51,1.039,6918144
52,1.060,6995968
53,1.068,6881280
54,1.020,7004160
55,1.051,7004160
56,1.062,6918144
57,1.123,6901760
58,1.084,6905856
59,1.076,6836224
60,1.047,7053312
61,1.032,6938624
62,1.049,6995968
63,1.046,6901760
64,1.066,6926336
65,1.106,6926336
66,1.104,7757824
67,1.148,6975488
68,1.083,6914048
69,1.048,6930432
70,1.020,7000064
71,1.040,7045120
72,1.049,7045120
73,1.048,6955008
74,1.045,7053312
75,1.048,6840320
76,1.068,7057408
77,1.059,6840320
78,1.040,6926336
79,1.025,7004160
80,1.093,6942720
81,1.169,7626752
82,1.061,7000064
83,1.055,6930432
84,1.078,6926336
85,1.153,6918144
86,1.041,7004160
87,1.049,6914048
88,1.056,7032832
89,1.052,7032832
90,1.091,6926336
91,1.048,6914048
92,1.139,6914048
93,1.059,6918144
94,1.051,6897664
95,1.060,6942720
96,1.041,6914048
97,1.050,6901760
98,1.070,6918144
99,1.087,7028736
100,1.072,6897664

Statistics:
Average Time,1.069 ms
Max Time,1.250 ms
Average Memory,6.655 MB
Max Memory,7.414 MB
