Run,Time(ms),Memory(Bytes)
1,0.117,7008256
2,0.115,6901760
3,0.117,6942720
4,0.119,6656000
5,0.116,6758400
6,0.121,6729728
7,0.119,7008256
8,0.121,7008256
9,0.118,6897664
10,0.116,6590464
11,0.116,6623232
12,0.116,6901760
13,0.116,6848512
14,0.117,7053312
15,0.146,6905856
16,0.118,6991872
17,0.117,6995968
18,0.116,6950912
19,0.117,6664192
20,0.120,6488064
21,0.117,6582272
22,0.122,6905856
23,0.122,6995968
24,0.129,6930432
25,0.121,7049216
26,0.116,6852608
27,0.115,6742016
28,0.117,6758400
29,0.116,6361088
30,0.125,6586368
31,0.115,6742016
32,0.115,6938624
33,0.116,6897664
34,0.115,6950912
35,0.116,6742016
36,0.124,6737920
37,0.237,6955008
38,0.115,6848512
39,0.148,6930432
40,0.158,6307840
41,0.116,6926336
42,0.121,6578176
43,0.117,7049216
44,0.115,6938624
45,0.135,6897664
46,0.117,6942720
47,0.118,6582272
48,0.117,6914048
49,0.114,6643712
50,0.117,7045120
51,0.117,6860800
52,0.116,7000064
53,0.115,6995968
54,0.116,6914048
55,0.116,7004160
56,0.124,6631424
57,0.117,6672384
58,0.115,6307840
59,0.117,6684672
60,0.115,7028736
61,0.145,6905856
62,0.115,6897664
63,0.131,6627328
64,0.118,6410240
65,0.116,6942720
66,0.115,6926336
67,0.118,6926336
68,0.118,7000064
69,0.118,7008256
70,0.117,6995968
71,0.116,6893568
72,0.115,6848512
73,0.116,6848512
74,0.118,6938624
75,0.145,6934528
76,0.118,6852608
77,0.119,6897664
78,0.122,6774784
79,0.144,7000064
80,0.121,6905856
81,0.151,7045120
82,0.125,7000064
83,0.114,6914048
84,0.117,6938624
85,0.156,6852608
86,0.116,6656000
87,0.117,6631424
88,0.117,7057408
89,0.121,7057408
90,0.127,6508544
91,0.114,7057408
92,0.123,6905856
93,0.129,7008256
94,0.122,6901760
95,0.114,6852608
96,0.117,6860800
97,0.116,6737920
98,0.116,6901760
99,0.114,7049216
100,0.115,7028736

Statistics:
Average Time,0.122 ms
Max Time,0.237 ms
Average Memory,6.531 MB
Max Memory,6.730 MB
