Run,Time(ms),Memory(Bytes)
1,579.309,6897664
2,579.376,7053312
3,703.834,7753728
4,703.727,6856704
5,705.898,6942720
6,705.490,7008256
7,707.134,6926336
8,581.322,6848512
9,582.386,7057408
10,582.804,6942720
11,706.614,6918144
12,709.204,6926336
13,707.316,6844416
14,705.395,6914048
15,705.239,6848512
16,705.398,6901760
17,580.317,6942720
18,581.507,7053312
19,578.664,6926336
20,705.521,6950912
21,702.024,6901760
22,702.994,7053312
23,704.595,7057408
24,704.959,7045120
25,579.012,6848512
26,579.946,7000064
27,705.589,6942720
28,707.266,6914048
29,727.009,7028736
30,714.306,6897664
31,583.607,6852608
32,709.281,7000064
33,704.063,6926336
34,708.762,6901760
35,708.920,7028736
36,711.287,6909952
37,579.278,7004160
38,707.020,6938624
39,706.182,6848512
40,708.330,7032832
41,707.401,6938624
42,705.555,6922240
43,580.781,6955008
44,580.340,7000064
45,581.959,6918144
46,704.826,6942720
47,704.884,7012352
48,707.641,6926336
49,705.266,6852608
50,707.201,6938624
51,712.489,6885376
52,583.989,6893568
53,582.471,6905856
54,710.313,7053312
55,706.744,6901760
56,704.042,6852608
57,713.055,7053312
58,582.003,6938624
59,581.324,6860800
60,706.384,7045120
61,707.810,7053312
62,706.670,6926336
63,705.622,6852608
64,705.042,6938624
65,708.716,7057408
66,584.183,6938624
67,582.453,6918144
68,581.187,6852608
69,705.867,6905856
70,705.397,6852608
71,709.313,6914048
72,703.016,6918144
73,705.176,6914048
74,703.186,7045120
75,579.562,7049216
76,739.105,6856704
77,704.731,6938624
78,710.145,7028736
79,582.024,6905856
80,578.901,6901760
81,579.010,7004160
82,582.053,6938624
83,723.302,6836224
84,956.369,6942720
85,578.233,6848512
86,581.367,6938624
87,703.431,6942720
88,704.039,6955008
89,704.246,7053312
90,704.005,7049216
91,707.451,6926336
92,582.441,6848512
93,580.169,6852608
94,704.336,6860800
95,706.017,6995968
96,707.605,6930432
97,705.483,6942720
98,710.753,7045120
99,709.742,7028736
100,585.218,6995968

Statistics:
Average Time,669.629 ms
Max Time,956.369 ms
Average Memory,6.629 MB
Max Memory,7.395 MB
