Time(ms),Memory(Bytes)
23.059,11231232.0
23.392,11325440.0
22.876,11321344.0
23.199,11296768.0
23.206,11317248.0
23.200,11235328.0
23.638,11333632.0
23.429,11218944.0
22.589,11149312.0
22.772,11300864.0
22.923,11149312.0
22.492,11333632.0
22.304,11337728.0
23.843,11239424.0
22.989,11300864.0
22.548,11235328.0
22.681,11165696.0
23.406,11247616.0
22.454,11264000.0
22.317,11251712.0
22.402,11337728.0
23.253,11243520.0
22.494,11206656.0
22.332,11296768.0
22.518,11247616.0
22.514,11296768.0
22.390,11341824.0
23.108,11345920.0
24.719,11321344.0
22.613,11317248.0
23.540,11317248.0
23.037,11218944.0
22.759,11300864.0
22.436,11231232.0
22.289,11177984.0
22.269,11194368.0
22.651,11251712.0
22.255,11206656.0
22.900,11214848.0
24.105,11239424.0
22.540,11210752.0
23.238,11173888.0
22.809,11235328.0
22.399,11214848.0
23.262,11300864.0
22.686,11296768.0
22.891,11239424.0
22.431,11247616.0
23.186,11177984.0
22.493,11337728.0
22.713,11251712.0
23.044,11165696.0
22.638,11235328.0
22.582,11149312.0
22.526,11300864.0
23.061,11157504.0
22.449,11165696.0
22.542,11235328.0
22.269,11317248.0
22.301,11321344.0
22.320,11239424.0
22.855,11239424.0
22.563,11177984.0
22.491,11341824.0
23.028,11235328.0
22.839,11214848.0
29.314,11239424.0
22.284,11161600.0
22.881,11173888.0
23.501,11247616.0
22.530,11206656.0
22.610,11177984.0
22.625,11317248.0
22.524,11345920.0
23.147,11243520.0
23.804,11235328.0
23.714,11345920.0
22.425,11235328.0
23.031,11243520.0
23.573,11268096.0
22.917,11251712.0
23.444,11321344.0
22.640,11354112.0
22.793,11173888.0
22.391,11264000.0
22.925,11325440.0
22.608,11350016.0
22.272,11149312.0
22.820,11210752.0
23.141,11268096.0
22.625,11333632.0
22.349,11325440.0
22.525,11321344.0
22.530,11239424.0
22.364,11296768.0
23.899,11337728.0
22.323,11153408.0
22.878,11206656.0
22.877,11235328.0
22.716,11247616.0
