Time(ms),Memory(Bytes)
25.123,11149312.0
24.752,11231232.0
24.839,11276288.0
24.845,11145216.0
25.186,11247616.0
24.949,11259904.0
149.427,11350016.0
24.794,11259904.0
149.833,11153408.0
24.804,11259904.0
150.535,11247616.0
25.492,11161600.0
149.671,11350016.0
24.768,11157504.0
24.711,11689984.0
24.847,11268096.0
24.950,11149312.0
25.157,11198464.0
24.893,11177984.0
24.782,11259904.0
24.907,11354112.0
28.511,11165696.0
25.221,11161600.0
24.932,11243520.0
25.087,11153408.0
149.236,11153408.0
25.019,11149312.0
149.786,11304960.0
24.875,11177984.0
150.925,11341824.0
24.915,11149312.0
148.379,11354112.0
24.829,11268096.0
24.909,11165696.0
24.837,11153408.0
24.999,11231232.0
24.941,11350016.0
24.855,11272192.0
25.577,11149312.0
24.782,11177984.0
149.430,11173888.0
25.058,11247616.0
149.851,11276288.0
24.941,11354112.0
150.482,11214848.0
25.117,11210752.0
148.360,11231232.0
24.791,11354112.0
25.165,11235328.0
24.994,11157504.0
24.753,11247616.0
24.886,11272192.0
24.765,11341824.0
25.933,11259904.0
25.018,11255808.0
26.229,11255808.0
24.811,11296768.0
25.180,11231232.0
24.986,11173888.0
153.532,11173888.0
24.908,11259904.0
149.055,11157504.0
25.539,11350016.0
150.199,11276288.0
24.766,11153408.0
149.149,11161600.0
24.803,11235328.0
24.704,11259904.0
24.968,11272192.0
25.240,11247616.0
25.125,11264000.0
24.799,11124736.0
24.746,11153408.0
24.739,11264000.0
24.643,11235328.0
24.720,11259904.0
149.377,11235328.0
24.715,11153408.0
150.081,11145216.0
24.850,11177984.0
24.884,11173888.0
24.795,11235328.0
24.803,11153408.0
24.781,11231232.0
25.063,11149312.0
24.760,11259904.0
24.753,11173888.0
25.009,11161600.0
24.732,11264000.0
149.224,11247616.0
25.220,11177984.0
149.591,11223040.0
24.977,11268096.0
148.704,11354112.0
24.706,11268096.0
148.653,11100160.0
25.229,11177984.0
24.871,11276288.0
25.207,11161600.0
24.829,11255808.0
