Time(ms),Memory(Bytes)
684.532,11268096.0
685.880,11173888.0
684.306,11141120.0
686.722,11259904.0
683.470,11235328.0
685.941,11300864.0
562.068,11268096.0
560.051,11149312.0
564.223,11141120.0
566.281,11268096.0
569.698,11259904.0
568.706,11276288.0
562.186,11255808.0
700.521,11235328.0
690.095,11268096.0
684.410,11177984.0
681.884,11300864.0
690.823,11259904.0
1221.950,11350016.0
1024.630,11247616.0
974.791,11161600.0
980.201,11264000.0
946.537,11300864.0
783.726,11247616.0
693.255,11354112.0
691.809,11243520.0
693.584,11243520.0
683.402,11161600.0
686.333,11247616.0
555.488,11350016.0
558.016,11341824.0
558.341,11272192.0
556.999,11251712.0
559.683,11624448.0
680.600,11157504.0
686.599,11149312.0
567.887,11145216.0
560.271,11296768.0
562.442,11296768.0
566.557,11300864.0
554.868,11341824.0
558.223,11157504.0
684.349,11259904.0
682.394,11268096.0
682.891,11259904.0
682.970,11259904.0
686.072,11153408.0
684.264,11296768.0
681.821,11149312.0
562.462,11276288.0
561.418,11259904.0
557.760,11341824.0
556.239,11259904.0
555.708,11223040.0
565.056,11165696.0
558.166,11300864.0
556.226,11251712.0
561.643,11173888.0
563.936,11255808.0
558.265,11104256.0
561.144,11702272.0
560.957,11247616.0
559.417,11153408.0
558.440,11145216.0
558.823,11272192.0
685.082,11153408.0
686.378,11120640.0
685.963,11153408.0
680.546,11161600.0
682.383,11173888.0
685.444,11153408.0
685.288,11247616.0
687.265,11264000.0
560.346,11243520.0
695.525,11354112.0
561.923,11354112.0
565.573,11145216.0
556.759,11276288.0
557.152,11153408.0
560.241,11300864.0
559.391,11354112.0
560.296,11173888.0
557.746,11235328.0
560.801,11350016.0
686.462,11268096.0
690.952,11264000.0
685.014,11165696.0
689.783,11255808.0
683.127,11259904.0
681.851,11268096.0
681.884,11296768.0
684.137,11350016.0
688.523,11177984.0
555.714,11210752.0
558.100,11177984.0
561.501,11153408.0
557.337,11259904.0
555.568,11276288.0
559.472,11145216.0
554.628,11264000.0
