Time(ms),Memory(Bytes)
4.781,11231232.0
4.718,11218944.0
4.687,11235328.0
4.658,11264000.0
4.752,11317248.0
4.991,11235328.0
4.720,11296768.0
4.654,11321344.0
4.718,11251712.0
4.686,11251712.0
4.685,11231232.0
4.693,11341824.0
4.666,11214848.0
4.737,11268096.0
4.676,11239424.0
4.661,11161600.0
127.283,11268096.0
4.642,11173888.0
4.780,11333632.0
4.702,11317248.0
4.636,11272192.0
4.697,11354112.0
4.674,11321344.0
4.700,11243520.0
4.644,11321344.0
4.853,11247616.0
4.700,11153408.0
4.692,11210752.0
4.776,11325440.0
4.799,11264000.0
4.657,11149312.0
4.671,11218944.0
4.750,11235328.0
4.739,11218944.0
4.721,11210752.0
4.654,11247616.0
4.680,11247616.0
4.663,11231232.0
4.657,11165696.0
4.724,11341824.0
4.661,11206656.0
4.721,11235328.0
4.707,11235328.0
4.718,11247616.0
4.684,11194368.0
4.915,11325440.0
4.696,11231232.0
4.735,11345920.0
4.676,11161600.0
4.628,11264000.0
4.757,11345920.0
4.842,11300864.0
4.640,11149312.0
4.699,11239424.0
4.689,11350016.0
4.755,11350016.0
4.833,11321344.0
4.760,11177984.0
4.718,11177984.0
4.658,11231232.0
4.668,11325440.0
4.679,11247616.0
4.789,11239424.0
4.701,11317248.0
4.852,11173888.0
4.682,11341824.0
127.592,11243520.0
4.760,11194368.0
4.963,11239424.0
4.678,11300864.0
4.899,11243520.0
4.801,11161600.0
4.839,11300864.0
4.835,11317248.0
4.696,11239424.0
4.736,11350016.0
4.736,11161600.0
4.717,11321344.0
4.781,11333632.0
4.920,11239424.0
4.681,11239424.0
4.826,11264000.0
4.655,11153408.0
4.835,11247616.0
4.730,11173888.0
4.673,11325440.0
4.650,11153408.0
4.713,11235328.0
4.717,11354112.0
4.870,11247616.0
4.694,11165696.0
127.223,11337728.0
4.750,11231232.0
4.935,11321344.0
4.767,11214848.0
4.692,11341824.0
4.687,11296768.0
4.682,11214848.0
4.792,11624448.0
4.669,11268096.0
