Time(ms),Memory(Bytes)
16.528,11472896.0
10.863,6860800.0
11.133,7573504.0
15.677,11341824.0
11.291,7614464.0
15.348,11464704.0
14.297,11395072.0
11.946,7634944.0
14.842,11464704.0
14.981,11378688.0
11.733,7569408.0
10.940,7553024.0
16.052,11448320.0
15.378,11452416.0
15.089,11468800.0
11.667,7671808.0
11.144,7663616.0
14.247,11489280.0
11.262,7573504.0
11.768,7634944.0
11.281,7061504.0
11.563,7524352.0
136.042,7585792.0
11.579,7696384.0
135.523,7593984.0
11.179,7553024.0
138.944,11354112.0
15.267,11448320.0
135.723,7557120.0
15.027,11354112.0
134.194,7704576.0
11.646,7708672.0
135.840,7569408.0
11.010,7688192.0
14.684,11448320.0
15.515,11366400.0
139.661,11378688.0
16.340,11378688.0
136.315,7561216.0
11.091,7016448.0
139.538,11452416.0
11.461,7708672.0
138.536,11337728.0
11.728,7659520.0
134.773,7561216.0
11.237,7524352.0
141.302,11395072.0
11.784,7561216.0
135.493,7553024.0
11.030,7553024.0
11.474,7663616.0
11.339,7704576.0
11.536,7598080.0
14.893,11452416.0
11.409,7565312.0
11.213,7704576.0
14.604,11337728.0
11.510,7696384.0
14.898,11423744.0
15.894,11370496.0
10.998,7671808.0
11.514,7557120.0
139.225,11366400.0
12.157,7565312.0
11.300,7507968.0
11.991,7696384.0
15.563,11395072.0
10.909,7663616.0
11.572,7569408.0
11.917,7569408.0
14.442,11345920.0
11.174,7704576.0
15.111,11366400.0
11.540,7610368.0
11.345,7684096.0
11.284,7524352.0
11.260,7593984.0
11.564,7557120.0
12.042,7671808.0
11.791,7540736.0
11.198,7557120.0
15.057,11399168.0
14.484,11354112.0
15.415,11481088.0
14.796,11464704.0
16.520,11345920.0
11.150,7692288.0
11.259,6946816.0
14.538,11300864.0
11.510,7663616.0
10.853,7692288.0
11.140,7639040.0
15.202,11452416.0
15.208,11419648.0
15.208,11464704.0
11.658,7684096.0
15.347,11468800.0
14.786,11345920.0
11.848,7557120.0
11.770,8069120.0
