Time(ms),Memory(Bytes)
259.148,11579392.0
262.561,11726848.0
264.065,11624448.0
259.104,11628544.0
264.366,11759616.0
390.150,7573504.0
263.523,11616256.0
249.538,7696384.0
255.389,7462912.0
271.074,11653120.0
394.376,11718656.0
257.245,7593984.0
267.658,11653120.0
264.299,11722752.0
266.173,11649024.0
266.102,11649024.0
258.698,11735040.0
262.182,11628544.0
272.059,11636736.0
266.125,11653120.0
266.138,11636736.0
381.321,11616256.0
257.315,11612160.0
260.447,11689984.0
267.887,11759616.0
266.168,11612160.0
249.658,7553024.0
265.283,11640832.0
257.509,11694080.0
258.060,7708672.0
394.745,11689984.0
249.977,7634944.0
275.661,11649024.0
260.018,11612160.0
267.115,11747328.0
265.860,11608064.0
264.849,11689984.0
259.670,7684096.0
403.932,11636736.0
253.491,7561216.0
259.835,11624448.0
256.421,7667712.0
264.901,7704576.0
262.740,11689984.0
253.367,7708672.0
273.079,11579392.0
261.545,11735040.0
267.761,11759616.0
254.173,7573504.0
263.878,11575296.0
247.540,7561216.0
266.520,11624448.0
267.016,11689984.0
262.208,7696384.0
257.983,7569408.0
385.882,7589888.0
261.506,11653120.0
255.365,7557120.0
256.081,7700480.0
267.395,11735040.0
393.209,11653120.0
261.641,11624448.0
273.093,11591680.0
264.128,11612160.0
257.182,11759616.0
264.364,11575296.0
385.877,11735040.0
262.961,11636736.0
256.447,7634944.0
255.072,7573504.0
269.264,11689984.0
405.793,11743232.0
283.321,11747328.0
268.785,11747328.0
257.503,7589888.0
256.614,7589888.0
249.630,7667712.0
266.713,11694080.0
260.529,11759616.0
384.105,7684096.0
263.446,7598080.0
258.907,11755520.0
386.993,11722752.0
266.663,11624448.0
252.773,7671808.0
253.540,11649024.0
263.585,11595776.0
266.861,11722752.0
268.936,11718656.0
257.254,7524352.0
390.858,11751424.0
261.239,11599872.0
264.380,11718656.0
257.996,7524352.0
263.778,11624448.0
382.685,7557120.0
289.548,11616256.0
251.944,7573504.0
266.882,11640832.0
255.436,7684096.0
