Time(ms),Memory(Bytes)
287.571,11608064.0
298.933,11575296.0
300.906,11751424.0
297.708,11628544.0
305.864,11747328.0
424.385,11722752.0
416.748,11620352.0
422.694,11759616.0
415.328,11579392.0
293.320,11612160.0
290.872,11759616.0
294.903,11743232.0
296.883,11649024.0
289.767,11628544.0
420.776,11759616.0
417.884,11624448.0
290.835,11575296.0
295.663,11747328.0
287.838,11575296.0
295.775,11743232.0
419.816,11624448.0
416.743,11759616.0
413.813,11538432.0
294.640,11722752.0
291.330,11636736.0
295.855,11636736.0
290.751,11743232.0
302.235,11616256.0
291.170,11612160.0
416.466,11751424.0
425.557,11612160.0
291.389,11665408.0
294.902,11636736.0
419.469,11620352.0
294.811,11722752.0
291.616,11612160.0
300.379,11644928.0
290.862,11575296.0
289.511,11743232.0
419.874,11640832.0
289.959,11608064.0
294.153,11649024.0
297.596,11653120.0
293.098,11718656.0
292.450,11649024.0
415.909,11726848.0
417.942,11751424.0
294.276,11649024.0
300.467,11608064.0
287.937,11743232.0
295.544,11755520.0
289.797,11751424.0
420.725,11644928.0
425.714,11616256.0
425.086,11718656.0
423.415,11743232.0
293.388,11669504.0
291.891,11628544.0
294.506,11689984.0
420.146,11747328.0
419.906,11628544.0
421.291,11620352.0
296.229,11694080.0
292.332,11751424.0
299.393,11722752.0
293.081,11591680.0
413.767,11579392.0
421.090,11649024.0
292.506,11665408.0
290.381,11616256.0
299.194,11612160.0
287.087,11612160.0
416.675,11689984.0
296.308,11726848.0
298.143,11755520.0
291.830,11616256.0
295.794,11620352.0
430.164,11644928.0
423.414,11608064.0
426.191,11665408.0
289.578,11620352.0
296.195,11665408.0
302.941,11575296.0
288.570,11755520.0
296.494,11575296.0
416.810,11640832.0
416.360,11640832.0
296.678,11755520.0
287.173,11718656.0
285.673,11665408.0
416.914,11649024.0
419.479,11759616.0
423.979,11751424.0
292.539,11624448.0
290.661,11755520.0
329.754,11612160.0
295.523,11636736.0
289.655,11763712.0
293.665,11726848.0
294.824,11755520.0
