Time(ms),Memory(Bytes)
20.099,11378688.0
20.402,11476992.0
20.462,11309056.0
20.129,11395072.0
20.751,11419648.0
143.999,11341824.0
20.534,11476992.0
20.293,11325440.0
20.894,11452416.0
20.566,11366400.0
145.354,11853824.0
16.825,7557120.0
16.960,7667712.0
20.233,11378688.0
20.876,11378688.0
20.477,11448320.0
20.310,11354112.0
141.513,7688192.0
16.929,7593984.0
20.204,11837440.0
20.839,11309056.0
20.772,11309056.0
20.992,11366400.0
20.885,11476992.0
144.074,11382784.0
20.895,11476992.0
145.427,11485184.0
21.199,11452416.0
20.335,11304960.0
20.022,11419648.0
20.425,11489280.0
20.219,11476992.0
17.319,7520256.0
144.360,11354112.0
16.974,7639040.0
16.729,7634944.0
20.419,11382784.0
20.314,11489280.0
145.323,11472896.0
20.292,11382784.0
20.213,11452416.0
19.978,11366400.0
19.978,11476992.0
20.223,11378688.0
20.302,11341824.0
143.635,11358208.0
20.170,11395072.0
20.427,11345920.0
20.143,11395072.0
19.940,11341824.0
20.096,11304960.0
16.872,7598080.0
140.292,7536640.0
20.072,11472896.0
20.750,11493376.0
17.346,7536640.0
20.097,11468800.0
21.198,11476992.0
16.842,7585792.0
146.630,11853824.0
20.395,11341824.0
20.349,11448320.0
20.895,11378688.0
16.730,7544832.0
145.476,11452416.0
16.899,7680000.0
16.792,7589888.0
20.745,11419648.0
17.267,7585792.0
20.592,11468800.0
16.610,7688192.0
144.899,11341824.0
20.424,11378688.0
20.819,11472896.0
20.680,11350016.0
20.496,11423744.0
20.645,11419648.0
16.987,7585792.0
144.099,11374592.0
16.705,7565312.0
20.434,11472896.0
20.270,11358208.0
16.913,7634944.0
19.909,11485184.0
20.456,11337728.0
144.655,11395072.0
21.145,11366400.0
20.507,11309056.0
16.977,7667712.0
19.964,11374592.0
143.717,11341824.0
19.824,11345920.0
146.660,11337728.0
20.488,11493376.0
20.467,11374592.0
20.153,11452416.0
20.716,11399168.0
17.364,7680000.0
20.055,11399168.0
16.896,7520256.0
