Time(ms),Memory(Bytes)
1.684,6918144.0
1.686,6942720.0
1.681,6909952.0
1.714,6905856.0
1.693,7049216.0
1.681,6934528.0
1.703,6942720.0
4.782,11366400.0
1.941,6918144.0
1.621,6905856.0
1.664,6909952.0
1.666,6930432.0
5.085,11489280.0
1.661,6918144.0
5.044,11448320.0
5.150,11124736.0
1.683,6934528.0
1.665,6901760.0
4.836,11464704.0
1.701,7000064.0
1.705,7008256.0
1.684,6918144.0
4.879,11096064.0
1.669,6909952.0
1.625,7032832.0
1.675,7057408.0
1.681,6860800.0
4.783,11354112.0
1.643,7667712.0
123.524,11395072.0
1.657,6885376.0
1.715,6930432.0
1.704,6889472.0
1.674,7061504.0
1.698,7012352.0
1.636,6860800.0
1.678,7008256.0
1.713,7057408.0
1.727,7593984.0
1.668,7000064.0
1.640,7004160.0
4.912,11186176.0
1.652,6852608.0
1.670,6918144.0
4.868,11452416.0
1.630,6901760.0
1.665,6942720.0
1.664,7008256.0
1.654,6942720.0
1.633,6864896.0
1.668,7016448.0
1.655,6918144.0
1.660,6930432.0
1.674,6942720.0
1.629,6922240.0
1.646,6905856.0
1.652,6946816.0
1.699,6942720.0
1.644,6901760.0
1.628,6860800.0
1.678,6909952.0
1.673,7004160.0
1.642,6922240.0
1.630,6860800.0
1.680,7057408.0
4.812,11464704.0
1.677,6959104.0
4.952,11345920.0
4.757,11358208.0
1.698,7053312.0
1.659,6930432.0
5.179,11456512.0
1.687,7684096.0
1.670,7036928.0
1.686,7688192.0
4.992,11366400.0
1.703,7000064.0
1.646,6918144.0
1.618,7032832.0
127.283,11489280.0
1.622,7008256.0
1.694,6930432.0
4.842,11452416.0
1.611,6979584.0
1.630,7036928.0
5.140,11366400.0
1.769,6934528.0
4.795,11325440.0
1.695,7061504.0
1.620,7061504.0
4.857,11448320.0
1.647,7053312.0
1.719,6942720.0
4.821,11448320.0
1.663,7008256.0
4.747,11366400.0
1.632,7004160.0
1.678,6963200.0
122.410,11124736.0
5.005,11345920.0
