Time(ms),Memory(Bytes)
14.647,7307264.0
14.937,7491584.0
14.868,7680000.0
14.921,7503872.0
14.720,7495680.0
14.764,7671808.0
14.549,7663616.0
14.667,7405568.0
139.220,7680000.0
15.221,7663616.0
138.462,7663616.0
15.039,7467008.0
140.043,7696384.0
14.675,7299072.0
138.338,7692288.0
14.632,7528448.0
138.422,7585792.0
14.761,7659520.0
139.562,7786496.0
15.192,7786496.0
14.806,7671808.0
14.679,7581696.0
14.725,7364608.0
14.976,7602176.0
14.851,7397376.0
14.928,7421952.0
14.504,7639040.0
26.203,7663616.0
14.695,7405568.0
141.760,7692288.0
15.039,7532544.0
138.706,7393280.0
14.657,7475200.0
138.208,7372800.0
14.796,7462912.0
14.658,7602176.0
14.620,7413760.0
14.761,7630848.0
14.766,7684096.0
14.582,7467008.0
14.568,7659520.0
14.790,7622656.0
14.676,7692288.0
14.879,7503872.0
14.852,7475200.0
14.620,7729152.0
17.336,7475200.0
14.928,7692288.0
14.642,7491584.0
14.620,7675904.0
14.854,7585792.0
15.002,7356416.0
19.614,7663616.0
14.925,7659520.0
14.720,7397376.0
14.626,7671808.0
14.654,7663616.0
14.911,7684096.0
14.670,7573504.0
14.725,7426048.0
14.527,7475200.0
14.690,7479296.0
14.668,7491584.0
14.730,7512064.0
14.694,7311360.0
16.175,7671808.0
140.889,7483392.0
14.725,7782400.0
138.655,7639040.0
14.745,7475200.0
140.221,7643136.0
14.758,7524352.0
139.668,7630848.0
24.002,7602176.0
26.236,7512064.0
32.227,7585792.0
31.565,7745536.0
159.789,7745536.0
161.081,7573504.0
32.010,7573504.0
26.901,7757824.0
30.394,7782400.0
155.270,7393280.0
29.756,7639040.0
26.386,7639040.0
24.102,7639040.0
24.269,7516160.0
26.021,7585792.0
26.265,7757824.0
22.959,7045120.0
24.302,7745536.0
24.322,7671808.0
24.524,7778304.0
148.915,7421952.0
23.354,7663616.0
24.098,7974912.0
24.111,7467008.0
23.950,7680000.0
22.913,7585792.0
24.594,7786496.0
