Time(ms),Memory(Bytes)
19.605,7680000.0
19.435,7680000.0
142.345,7786496.0
19.552,7565312.0
19.446,7405568.0
19.572,7680000.0
19.457,7692288.0
19.625,7553024.0
19.790,7704576.0
143.290,7671808.0
19.608,7704576.0
19.554,7409664.0
19.398,7573504.0
19.429,7675904.0
143.898,7413760.0
19.535,7602176.0
19.378,7602176.0
19.433,7692288.0
19.394,7680000.0
19.439,7528448.0
19.360,7606272.0
144.145,7573504.0
19.630,7704576.0
19.542,7413760.0
19.683,7585792.0
19.322,7659520.0
19.452,7573504.0
19.399,7729152.0
143.777,7573504.0
19.375,7602176.0
19.611,7790592.0
19.736,7573504.0
19.513,7659520.0
144.677,7692288.0
19.726,7692288.0
19.561,7598080.0
19.790,7565312.0
19.438,7778304.0
19.598,7704576.0
19.481,7573504.0
143.834,7659520.0
19.525,7598080.0
19.440,7696384.0
19.569,7598080.0
19.446,7659520.0
19.739,7909376.0
19.461,7692288.0
144.452,7393280.0
19.393,7413760.0
19.352,7680000.0
19.399,7729152.0
19.537,7573504.0
144.363,7524352.0
19.439,7680000.0
19.654,7573504.0
19.448,7602176.0
19.575,7602176.0
19.535,7573504.0
19.701,7573504.0
143.858,7671808.0
19.569,7573504.0
19.398,7680000.0
19.958,7684096.0
19.489,7585792.0
145.263,7557120.0
19.353,7598080.0
19.587,7786496.0
19.392,7573504.0
19.496,7704576.0
19.367,7606272.0
19.493,7598080.0
145.258,7680000.0
19.530,7786496.0
19.676,7704576.0
19.647,7573504.0
19.432,7405568.0
20.078,7581696.0
19.388,7598080.0
144.385,7692288.0
19.392,7585792.0
19.329,7680000.0
19.607,7622656.0
19.370,7602176.0
20.924,7671808.0
19.648,7704576.0
144.203,7692288.0
19.999,7565312.0
19.535,7565312.0
19.309,7258112.0
19.293,7589888.0
143.977,7778304.0
19.303,7692288.0
19.355,7565312.0
19.476,7573504.0
19.265,7569408.0
19.375,7577600.0
19.825,7680000.0
144.195,7573504.0
19.693,7307264.0
19.443,7680000.0
