Time(ms),Memory(Bytes)
150.773,7630848.0
26.283,7729152.0
25.884,7659520.0
26.065,7585792.0
26.007,7778304.0
150.787,7692288.0
25.822,7757824.0
26.505,7778304.0
26.095,7745536.0
26.769,7786496.0
149.848,7770112.0
26.145,7786496.0
26.022,7729152.0
26.371,7639040.0
26.096,7729152.0
151.226,7573504.0
25.869,7680000.0
25.986,7770112.0
25.971,7634944.0
25.842,7757824.0
151.831,7663616.0
26.559,7778304.0
27.007,7639040.0
25.956,7770112.0
26.087,7659520.0
150.237,7729152.0
26.331,7745536.0
26.166,7745536.0
26.044,7745536.0
25.869,7684096.0
26.275,7729152.0
25.925,7602176.0
26.743,7663616.0
151.440,7745536.0
26.393,7606272.0
26.154,7589888.0
26.012,7770112.0
26.357,7729152.0
150.543,7671808.0
26.082,7659520.0
26.548,7663616.0
26.018,7770112.0
26.007,7659520.0
149.902,7745536.0
25.933,7680000.0
25.946,7585792.0
25.897,7593984.0
25.908,7602176.0
151.446,7786496.0
25.994,7639040.0
26.123,7639040.0
25.749,7680000.0
25.954,7630848.0
151.277,7692288.0
26.454,7573504.0
25.953,7757824.0
25.909,7757824.0
26.237,7585792.0
149.989,7684096.0
26.128,7577600.0
27.030,7573504.0
150.646,7692288.0
25.893,7585792.0
26.075,7659520.0
25.961,7581696.0
25.750,7573504.0
25.899,7589888.0
25.689,7663616.0
151.590,7786496.0
26.106,7770112.0
26.137,7593984.0
25.849,7602176.0
26.620,7659520.0
26.200,7680000.0
25.806,7770112.0
25.761,7639040.0
149.956,7585792.0
25.860,7790592.0
26.241,7786496.0
25.585,7675904.0
25.848,7757824.0
150.174,7692288.0
25.654,7573504.0
25.836,7639040.0
25.863,7749632.0
25.789,7602176.0
151.415,7299072.0
26.382,7647232.0
26.109,7659520.0
25.968,7770112.0
25.880,8052736.0
150.295,7680000.0
26.008,7745536.0
25.772,7659520.0
26.226,7585792.0
25.906,7786496.0
150.737,7745536.0
25.805,7671808.0
25.798,7569408.0
25.876,7749632.0
