Time(ms),Memory(Bytes)
2.274,7516160.0
2.425,7544832.0
2.427,7569408.0
2.339,7557120.0
2.308,7512064.0
2.537,7446528.0
2.270,7512064.0
2.257,7434240.0
2.462,7397376.0
2.384,7561216.0
2.272,7512064.0
2.235,7049216.0
2.312,7507968.0
2.215,7032832.0
2.171,7540736.0
2.409,7446528.0
2.156,6901760.0
2.452,7434240.0
2.277,7438336.0
2.291,7397376.0
2.385,6856704.0
2.316,7487488.0
2.224,7557120.0
2.282,7512064.0
2.174,6864896.0
2.177,7016448.0
2.154,6946816.0
2.144,6909952.0
2.208,7467008.0
2.311,7032832.0
2.404,6963200.0
2.253,6955008.0
2.350,7036928.0
2.506,7548928.0
2.387,7565312.0
2.185,6864896.0
2.184,6897664.0
2.451,7565312.0
2.437,7438336.0
2.308,7417856.0
2.365,7430144.0
2.316,7434240.0
2.245,7049216.0
2.369,7573504.0
2.255,7634944.0
2.444,7475200.0
2.368,7016448.0
2.237,7548928.0
2.228,7012352.0
2.340,7520256.0
2.239,7004160.0
2.486,7475200.0
2.240,7524352.0
2.350,7475200.0
2.242,7401472.0
2.359,6942720.0
2.415,7430144.0
2.290,7544832.0
2.226,7565312.0
2.325,7008256.0
2.447,7569408.0
2.231,7434240.0
2.309,7462912.0
2.382,7458816.0
2.384,7458816.0
2.329,7446528.0
2.356,7544832.0
2.319,7540736.0
2.357,7467008.0
2.269,6930432.0
2.473,7557120.0
2.378,7475200.0
2.244,7544832.0
2.287,7540736.0
2.337,7053312.0
2.386,7421952.0
2.307,7442432.0
2.448,7561216.0
2.321,7401472.0
2.404,7397376.0
2.359,7471104.0
2.221,7450624.0
2.303,7544832.0
2.255,7401472.0
2.348,6942720.0
2.438,7462912.0
2.265,6885376.0
2.379,7577600.0
2.409,7450624.0
125.558,7430144.0
2.297,7565312.0
2.326,7413760.0
2.227,6959104.0
2.290,7573504.0
2.320,7458816.0
2.239,7032832.0
2.215,7573504.0
2.353,7544832.0
2.406,7462912.0
2.394,7524352.0
