Time(ms),Memory(Bytes)
541.797,7520256.0
655.801,7573504.0
531.021,7544832.0
542.190,7487488.0
526.610,7565312.0
657.283,7446528.0
534.049,7413760.0
541.721,7524352.0
530.646,7471104.0
527.716,7421952.0
533.645,7524352.0
531.362,7438336.0
661.990,7450624.0
524.628,7397376.0
531.496,7487488.0
527.399,7573504.0
530.596,7426048.0
531.956,7561216.0
525.591,8077312.0
655.985,7569408.0
532.179,7516160.0
537.813,7544832.0
658.825,7524352.0
660.977,7397376.0
528.493,7557120.0
535.282,7438336.0
662.945,7471104.0
653.243,7471104.0
538.895,7577600.0
530.774,7471104.0
656.910,7434240.0
663.012,7544832.0
534.675,7397376.0
542.116,7397376.0
529.410,7393280.0
662.848,7438336.0
539.494,7467008.0
527.107,7446528.0
654.178,7491584.0
535.359,7573504.0
538.190,7446528.0
534.071,7487488.0
655.294,7446528.0
527.079,7520256.0
533.164,7434240.0
539.843,8036352.0
655.369,7544832.0
542.114,7512064.0
566.957,7430144.0
548.967,7507968.0
536.055,7565312.0
658.353,7491584.0
528.918,7462912.0
535.711,7426048.0
532.073,7536640.0
658.484,7512064.0
536.133,7557120.0
532.708,7446528.0
531.617,7434240.0
660.083,7397376.0
530.484,7446528.0
539.944,7544832.0
531.192,7462912.0
655.963,7458816.0
536.319,7524352.0
529.823,7397376.0
534.012,7475200.0
654.247,7524352.0
535.279,7565312.0
536.971,7487488.0
536.542,7516160.0
657.651,7438336.0
538.880,7401472.0
536.724,7446528.0
535.680,7540736.0
664.474,7397376.0
666.210,7512064.0
531.129,7544832.0
533.294,7565312.0
657.225,7401472.0
661.660,7438336.0
530.098,7438336.0
532.521,7581696.0
525.844,7438336.0
530.657,7462912.0
533.574,7548928.0
532.038,7450624.0
663.277,7397376.0
529.990,7516160.0
530.539,7397376.0
536.629,7458816.0
652.462,7487488.0
546.793,7438336.0
533.007,7540736.0
529.112,7487488.0
663.829,7536640.0
533.018,7438336.0
537.241,7458816.0
664.876,7401472.0
532.763,7430144.0
