Time(ms),Memory(Bytes)
27.311,7446528.0
26.827,7471104.0
26.508,7434240.0
26.577,7471104.0
26.419,7397376.0
25.720,7548928.0
26.604,7557120.0
27.286,7573504.0
27.181,7573504.0
26.884,7471104.0
26.825,7569408.0
26.572,7438336.0
150.559,7553024.0
26.723,7487488.0
152.034,7544832.0
27.069,7544832.0
150.322,7573504.0
26.520,7512064.0
151.077,7462912.0
26.432,7544832.0
150.355,7557120.0
26.024,7512064.0
26.866,7434240.0
26.912,7421952.0
26.210,7577600.0
25.709,7442432.0
26.253,7434240.0
26.776,7548928.0
26.595,7401472.0
26.038,7397376.0
26.509,7512064.0
26.165,7401472.0
27.293,7557120.0
26.864,7458816.0
26.174,7458816.0
26.972,7344128.0
26.096,7573504.0
150.917,7401472.0
26.507,7458816.0
154.190,7458816.0
41.004,7442432.0
41.500,7426048.0
45.004,7520256.0
40.181,7520256.0
40.706,7565312.0
50.709,7487488.0
41.835,7401472.0
45.471,7438336.0
42.185,7458816.0
41.984,7524352.0
37.587,7573504.0
41.809,7401472.0
40.814,7016448.0
47.459,7401472.0
41.655,7344128.0
48.766,7434240.0
43.095,7430144.0
37.705,7491584.0
38.303,7397376.0
167.659,7438336.0
164.968,7487488.0
38.130,7544832.0
37.969,7565312.0
39.409,7557120.0
165.049,7516160.0
38.000,7442432.0
39.712,7430144.0
39.239,7516160.0
163.402,7540736.0
38.127,7540736.0
37.867,7458816.0
38.560,7573504.0
164.955,7516160.0
163.332,7540736.0
38.079,7516160.0
38.428,7524352.0
164.760,7389184.0
164.551,7434240.0
39.848,7487488.0
38.628,7569408.0
38.901,7430144.0
162.544,7544832.0
37.323,7979008.0
35.316,7061504.0
41.676,7520256.0
37.333,6942720.0
36.160,7462912.0
165.992,7458816.0
35.575,7487488.0
36.183,7458816.0
161.584,7467008.0
34.797,7430144.0
35.330,7438336.0
161.190,7450624.0
34.351,7548928.0
35.652,7397376.0
159.816,7467008.0
34.346,7471104.0
35.314,7462912.0
160.362,7487488.0
