Time(ms),Memory(Bytes)
31.184,7462912.0
30.764,7397376.0
155.842,7397376.0
30.476,7548928.0
30.560,7434240.0
30.241,7438336.0
30.323,7471104.0
154.954,7434240.0
30.423,7524352.0
30.797,7577600.0
154.859,7540736.0
30.725,7528448.0
30.756,7540736.0
156.081,7577600.0
30.994,7565312.0
30.683,7462912.0
30.361,7548928.0
31.347,7516160.0
30.982,7397376.0
30.488,7553024.0
30.809,7524352.0
155.807,7467008.0
30.716,7516160.0
30.498,7471104.0
155.952,7442432.0
31.063,7565312.0
30.660,7569408.0
155.045,7430144.0
30.759,7471104.0
30.542,7520256.0
30.809,7548928.0
30.444,7561216.0
31.018,7446528.0
30.512,7573504.0
30.159,7454720.0
155.208,7569408.0
30.743,7417856.0
30.911,7557120.0
156.259,7462912.0
30.745,7577600.0
31.061,7536640.0
155.273,7442432.0
30.395,7475200.0
30.270,7471104.0
30.520,7438336.0
31.108,7446528.0
155.254,7561216.0
31.157,7569408.0
30.462,7467008.0
155.895,7540736.0
30.592,7565312.0
30.706,7520256.0
155.612,7438336.0
30.460,7430144.0
30.729,7544832.0
154.994,7438336.0
31.432,7438336.0
30.676,7397376.0
30.526,7491584.0
30.388,7577600.0
155.656,7458816.0
30.504,7467008.0
31.501,7565312.0
155.628,7430144.0
30.753,7516160.0
30.858,7467008.0
156.023,7544832.0
30.292,7344128.0
30.957,7540736.0
155.192,7520256.0
31.327,7450624.0
31.164,7516160.0
30.631,7544832.0
30.689,7577600.0
156.927,7434240.0
30.424,7557120.0
31.288,7569408.0
155.176,7454720.0
30.462,7462912.0
31.053,7544832.0
155.295,7467008.0
30.889,7548928.0
30.876,7573504.0
155.153,7540736.0
30.877,7565312.0
30.478,7467008.0
30.292,7520256.0
30.410,7430144.0
30.728,7544832.0
30.932,7565312.0
30.654,7471104.0
156.531,7471104.0
30.468,7561216.0
30.755,7573504.0
155.186,7438336.0
30.819,7430144.0
30.617,7471104.0
155.103,7540736.0
30.654,7446528.0
30.615,7446528.0
