Time(ms),Memory(Bytes)
2.038,6938624.0
2.086,6836224.0
2.044,6848512.0
2.009,6836224.0
2.033,7032832.0
2.016,6995968.0
2.026,6901760.0
2.080,6938624.0
2.037,7012352.0
2.028,6922240.0
2.002,7012352.0
2.043,6893568.0
2.158,7032832.0
2.132,6995968.0
2.066,7036928.0
2.055,7028736.0
2.005,6983680.0
2.024,6983680.0
2.038,7032832.0
2.061,7041024.0
1.999,6991872.0
2.070,7028736.0
2.084,7032832.0
2.049,7016448.0
2.058,6909952.0
2.267,7000064.0
2.009,7012352.0
2.016,6979584.0
2.055,7036928.0
2.016,6897664.0
2.002,6922240.0
2.012,6938624.0
2.038,6983680.0
2.063,7036928.0
2.024,6840320.0
2.050,6995968.0
2.022,6889472.0
2.097,6889472.0
2.014,7016448.0
2.268,6991872.0
2.043,6963200.0
2.016,6914048.0
2.059,6893568.0
2.049,6901760.0
2.115,6893568.0
2.029,6991872.0
2.207,6926336.0
2.044,7041024.0
1.998,6938624.0
2.048,6934528.0
2.034,6836224.0
2.050,6905856.0
2.014,6922240.0
2.077,6840320.0
2.109,7036928.0
2.066,6885376.0
2.075,6938624.0
2.062,6922240.0
2.095,6979584.0
2.083,6819840.0
2.001,6909952.0
2.029,7012352.0
2.064,6938624.0
2.000,7036928.0
2.039,6840320.0
2.059,6934528.0
2.149,6889472.0
2.013,6983680.0
2.067,6844416.0
2.041,6922240.0
2.159,6836224.0
2.175,6926336.0
2.248,6897664.0
2.248,6909952.0
2.061,6995968.0
2.029,6987776.0
2.075,6889472.0
2.095,6897664.0
2.006,6844416.0
2.034,6844416.0
2.073,6922240.0
2.105,6897664.0
2.021,7032832.0
2.023,7041024.0
2.219,6983680.0
2.094,6836224.0
2.049,6885376.0
2.054,6844416.0
2.081,7016448.0
2.016,6844416.0
2.017,6926336.0
2.037,6979584.0
2.042,6922240.0
2.033,6836224.0
2.043,6836224.0
1.995,6897664.0
2.049,6877184.0
2.085,7028736.0
2.076,6889472.0
2.059,6901760.0
