Time(ms),Memory(Bytes)
801.868,9543680.0
798.354,9527296.0
797.435,9633792.0
802.781,9396224.0
797.902,9633792.0
796.021,9633792.0
919.971,9412608.0
925.028,9531392.0
940.148,9506816.0
799.426,9416704.0
803.864,9412608.0
797.713,9445376.0
806.699,9551872.0
802.549,9519104.0
798.676,9498624.0
925.853,9527296.0
921.349,9576448.0
923.770,9478144.0
922.131,9445376.0
803.139,9551872.0
797.746,9416704.0
802.306,9551872.0
797.026,9539584.0
801.464,9539584.0
927.239,9404416.0
923.647,9506816.0
923.348,9433088.0
928.932,9633792.0
801.957,9539584.0
804.372,9437184.0
798.316,9519104.0
800.132,9543680.0
802.441,9527296.0
801.493,9433088.0
925.405,9412608.0
923.964,9445376.0
920.756,9539584.0
922.786,9576448.0
798.593,9453568.0
804.390,9412608.0
803.989,9539584.0
796.420,9539584.0
800.154,9543680.0
801.214,9527296.0
1315.810,9519104.0
1230.610,9412608.0
1239.000,9531392.0
1061.670,9551872.0
1059.510,9625600.0
858.172,9539584.0
801.164,9424896.0
801.899,9424896.0
799.866,9506816.0
803.526,9527296.0
801.179,9498624.0
800.572,9543680.0
806.763,9420800.0
806.244,9445376.0
806.195,9633792.0
801.303,9551872.0
817.924,9523200.0
805.140,9527296.0
795.346,9445376.0
800.765,9445376.0
802.910,9449472.0
799.200,9449472.0
799.816,9539584.0
807.032,9453568.0
800.054,9633792.0
797.541,9412608.0
800.337,9420800.0
796.351,9424896.0
797.945,9527296.0
927.909,9433088.0
926.232,9625600.0
929.788,9625600.0
932.074,9527296.0
931.004,9445376.0
929.506,9433088.0
921.163,9531392.0
804.809,9633792.0
803.489,9625600.0
797.267,9506816.0
800.608,9433088.0
804.612,9449472.0
804.220,9449472.0
820.029,9527296.0
813.805,9515008.0
939.057,9506816.0
925.836,9412608.0
923.633,9625600.0
797.428,9416704.0
804.013,9523200.0
797.242,9625600.0
801.301,9519104.0
802.466,9527296.0
806.058,9527296.0
801.650,9527296.0
799.405,9539584.0
797.582,9539584.0
