Time(ms),Memory(Bytes)
2.735,6836224.0
2.698,6934528.0
2.728,6893568.0
3.148,6897664.0
2.724,6922240.0
3.134,7012352.0
2.726,6922240.0
2.843,7028736.0
2.852,6922240.0
2.712,6901760.0
2.726,6926336.0
2.711,6901760.0
2.848,6885376.0
2.733,6922240.0
2.755,6909952.0
2.690,6909952.0
2.740,7036928.0
2.703,7028736.0
2.911,6983680.0
2.741,6926336.0
2.785,6905856.0
2.727,6889472.0
2.699,6836224.0
2.745,6995968.0
2.707,6897664.0
2.734,6889472.0
125.800,6922240.0
2.777,7012352.0
2.822,6983680.0
2.757,6963200.0
2.665,6963200.0
2.733,6983680.0
2.920,6901760.0
2.694,6987776.0
2.955,6897664.0
3.093,6983680.0
2.711,7016448.0
2.673,6897664.0
2.916,6979584.0
2.786,7012352.0
2.685,6885376.0
2.925,6889472.0
2.694,7016448.0
2.672,6934528.0
2.766,6897664.0
2.717,6922240.0
2.753,6922240.0
2.699,6934528.0
2.716,6922240.0
2.760,6885376.0
3.150,6983680.0
2.763,6909952.0
2.720,6836224.0
2.702,6848512.0
2.681,6922240.0
2.759,6893568.0
2.850,6885376.0
2.752,6938624.0
2.996,6889472.0
2.703,6934528.0
2.718,6889472.0
2.714,6844416.0
2.726,6995968.0
2.772,6995968.0
2.798,6995968.0
2.760,6934528.0
2.731,6893568.0
2.708,6905856.0
2.843,6979584.0
2.726,6905856.0
2.989,6983680.0
2.768,6885376.0
2.723,6893568.0
2.916,6844416.0
2.748,6844416.0
2.688,6889472.0
2.728,6844416.0
2.695,6848512.0
2.695,6979584.0
2.725,6901760.0
2.943,6885376.0
2.716,6885376.0
2.755,6897664.0
2.859,6983680.0
2.709,6844416.0
2.997,6926336.0
3.174,6909952.0
2.815,6938624.0
2.685,6897664.0
2.806,6922240.0
2.909,6938624.0
2.702,6885376.0
123.011,6897664.0
2.995,7036928.0
2.770,6926336.0
3.233,6901760.0
2.656,6983680.0
2.719,6901760.0
2.702,6983680.0
2.903,6987776.0
