Time(ms),Memory(Bytes)
940.547,15593472.0
937.805,15556608.0
935.936,15585280.0
937.875,15482880.0
934.499,15503360.0
940.045,15667200.0
942.203,15486976.0
935.251,15499264.0
809.956,15560704.0
808.797,15503360.0
818.082,15581184.0
807.366,15667200.0
808.011,15679488.0
808.223,15474688.0
807.884,15503360.0
813.034,15556608.0
810.657,15486976.0
809.572,15585280.0
810.181,15577088.0
809.591,15499264.0
812.393,15654912.0
814.151,15671296.0
806.294,15462400.0
808.213,15560704.0
813.782,15499264.0
806.725,15536128.0
810.712,15601664.0
810.849,15519744.0
942.115,15687680.0
804.505,15523840.0
807.287,15499264.0
804.700,15572992.0
809.555,15474688.0
811.829,15478784.0
807.016,15593472.0
809.681,15499264.0
817.754,15470592.0
812.307,15675392.0
814.691,15474688.0
813.058,15589376.0
935.894,15622144.0
935.506,15679488.0
937.405,15474688.0
937.806,15482880.0
936.976,15560704.0
937.793,15486976.0
941.989,15585280.0
948.304,15491072.0
957.475,15601664.0
947.353,15470592.0
817.205,15572992.0
939.973,15626240.0
942.185,15474688.0
939.588,15474688.0
940.881,15585280.0
937.205,15499264.0
940.180,15626240.0
936.563,15486976.0
943.062,15622144.0
940.378,15499264.0
812.517,15577088.0
944.517,15585280.0
939.237,15470592.0
814.394,15593472.0
818.479,15474688.0
817.387,15556608.0
945.413,15589376.0
810.517,15503360.0
964.413,15478784.0
1467.220,15626240.0
1067.690,15470592.0
1191.910,15478784.0
1208.430,15585280.0
1063.690,15474688.0
939.207,15556608.0
943.220,15671296.0
814.528,15597568.0
810.999,15478784.0
816.708,15593472.0
826.941,15589376.0
818.092,15478784.0
809.143,15478784.0
812.369,15572992.0
809.829,15671296.0
807.446,15470592.0
811.189,15499264.0
809.353,15486976.0
938.476,15597568.0
935.166,15491072.0
942.382,15585280.0
940.898,15593472.0
942.897,15601664.0
945.649,15601664.0
941.994,15675392.0
939.384,15622144.0
936.691,15585280.0
939.662,15622144.0
939.584,15581184.0
940.797,15601664.0
940.408,15572992.0
