Time(ms),Memory(Bytes)
0.224,7049216.0
0.224,6680576.0
0.231,6373376.0
0.224,6737920.0
0.237,6660096.0
0.240,6848512.0
0.228,6901760.0
0.226,6930432.0
0.230,6660096.0
0.255,6578176.0
0.222,6774784.0
0.232,6684672.0
0.233,6742016.0
0.232,6762496.0
0.223,7057408.0
0.247,6852608.0
0.225,7032832.0
0.240,6926336.0
0.224,6455296.0
0.223,6684672.0
0.227,7045120.0
0.230,6643712.0
0.224,6647808.0
0.224,6787072.0
0.223,6901760.0
0.226,7049216.0
0.224,7045120.0
0.223,6938624.0
0.237,6615040.0
0.233,6660096.0
0.225,6668288.0
0.228,6184960.0
0.231,7028736.0
0.249,6852608.0
0.231,7008256.0
0.224,6733824.0
0.223,6864896.0
0.223,7049216.0
0.224,6782976.0
0.222,7012352.0
0.222,6901760.0
0.227,6643712.0
0.225,6930432.0
0.230,6848512.0
0.240,7012352.0
0.299,7012352.0
0.222,6860800.0
0.231,7012352.0
0.221,6656000.0
0.223,6721536.0
0.267,6647808.0
0.246,7000064.0
0.223,6627328.0
0.267,6516736.0
0.230,6778880.0
0.225,6905856.0
0.226,6660096.0
0.233,7028736.0
0.232,6742016.0
0.242,6672384.0
0.233,6643712.0
0.224,6856704.0
0.224,6492160.0
0.226,6631424.0
0.239,6762496.0
0.224,6672384.0
0.224,6672384.0
0.225,6582272.0
0.235,6668288.0
0.231,6729728.0
0.226,6721536.0
0.252,6918144.0
0.225,6647808.0
0.226,6914048.0
0.259,6455296.0
0.223,6643712.0
0.225,6643712.0
0.232,6782976.0
0.232,7045120.0
0.225,6627328.0
0.234,7057408.0
0.223,6774784.0
0.230,6742016.0
0.230,6959104.0
0.229,6656000.0
0.229,6926336.0
0.249,7045120.0
0.232,6856704.0
0.225,7012352.0
0.232,6995968.0
0.247,6635520.0
0.257,6586368.0
0.226,6660096.0
0.234,7000064.0
0.231,6938624.0
0.226,6914048.0
0.299,4030464.0
0.344,6914048.0
0.224,6651904.0
0.225,7045120.0
