Time(ms),Memory(Bytes)
3.557,6955008.0
3.674,6914048.0
3.531,7323648.0
3.574,6860800.0
3.553,7409664.0
3.562,7045120.0
3.568,7270400.0
3.588,6914048.0
3.561,6856704.0
3.529,6938624.0
123.106,6942720.0
3.558,6938624.0
3.538,6950912.0
3.571,6995968.0
3.523,6938624.0
3.556,7049216.0
3.515,7053312.0
3.551,6905856.0
3.546,6905856.0
3.560,7000064.0
3.564,6955008.0
3.597,7000064.0
3.547,6856704.0
3.585,6901760.0
3.516,6860800.0
3.552,6950912.0
3.552,7053312.0
3.556,6922240.0
3.542,6918144.0
3.583,7409664.0
3.612,6938624.0
3.635,7000064.0
3.574,6897664.0
3.565,7008256.0
3.547,7008256.0
3.597,6922240.0
3.567,7012352.0
3.587,6848512.0
3.514,6860800.0
3.540,7028736.0
3.541,6950912.0
3.571,6995968.0
3.654,6950912.0
3.573,6848512.0
3.568,7028736.0
3.558,6995968.0
3.554,6930432.0
3.918,6848512.0
3.572,6942720.0
3.719,6955008.0
4.255,6938624.0
3.643,7057408.0
3.601,7045120.0
3.561,7045120.0
3.521,7000064.0
3.573,6918144.0
3.534,6860800.0
3.539,7208960.0
3.734,6926336.0
3.549,6819840.0
3.524,6930432.0
3.520,7045120.0
3.528,6942720.0
3.531,7057408.0
3.554,7032832.0
3.776,7221248.0
3.572,7057408.0
3.595,6901760.0
3.532,6955008.0
3.501,7262208.0
3.566,6848512.0
3.538,7409664.0
3.533,6840320.0
3.584,7008256.0
3.541,7204864.0
3.567,6856704.0
3.691,6914048.0
3.528,6901760.0
3.543,6926336.0
3.520,6918144.0
3.529,7004160.0
3.575,7008256.0
3.525,7004160.0
3.564,6938624.0
3.531,7364608.0
3.524,6905856.0
3.546,6918144.0
3.551,7028736.0
3.521,7028736.0
3.757,6938624.0
3.536,6922240.0
3.576,6918144.0
3.574,7053312.0
3.633,6942720.0
3.588,7045120.0
3.547,6955008.0
3.562,6856704.0
3.568,6897664.0
3.527,6955008.0
3.582,6955008.0
