Time(ms),Memory(Bytes)
1291.880,15642624.0
1326.150,15540224.0
1294.590,15560704.0
1301.400,15560704.0
1298.230,15642624.0
1298.500,15536128.0
1298.940,15650816.0
1304.960,15568896.0
1311.330,15626240.0
1307.930,15536128.0
1304.000,15593472.0
1305.080,15536128.0
1316.350,15486976.0
1298.340,15613952.0
1304.670,15572992.0
1299.530,15577088.0
1431.500,15503360.0
1428.720,15646720.0
1424.740,15556608.0
1422.490,15556608.0
1292.130,15568896.0
1290.780,15560704.0
1298.680,15499264.0
1301.050,15589376.0
1294.510,15474688.0
1419.480,15507456.0
1417.880,15642624.0
1288.870,15659008.0
1315.510,15560704.0
1420.710,15564800.0
1284.920,15446016.0
1289.750,15593472.0
1289.060,15663104.0
1410.510,15572992.0
1420.530,15568896.0
1286.420,15626240.0
1285.300,15663104.0
1281.190,15560704.0
1415.410,15532032.0
1418.080,15564800.0
1413.300,15577088.0
1291.760,15646720.0
1296.340,15540224.0
1287.750,15503360.0
1291.100,15503360.0
1403.380,15568896.0
1283.190,15499264.0
1282.180,15671296.0
1298.730,15499264.0
1289.510,15671296.0
1289.570,15646720.0
1286.060,15536128.0
1418.780,15560704.0
1423.860,15679488.0
1417.810,15572992.0
1444.090,15642624.0
1422.770,15646720.0
1415.930,15667200.0
1423.080,15478784.0
1295.730,15478784.0
1420.960,15646720.0
1292.390,15503360.0
1291.840,15650816.0
1287.670,15659008.0
1288.180,15572992.0
1286.730,15491072.0
1414.730,15650816.0
1423.390,15675392.0
1413.790,15474688.0
1281.430,15626240.0
1282.030,15572992.0
1281.180,15646720.0
1291.070,15536128.0
1285.310,15589376.0
1418.610,15564800.0
1413.630,15441920.0
1289.360,15536128.0
1451.490,15540224.0
1280.880,15675392.0
1296.520,15499264.0
1283.820,15499264.0
1287.230,15519744.0
1319.260,15560704.0
1296.080,15532032.0
1414.070,15589376.0
2020.570,15499264.0
1764.320,15626240.0
1787.790,15474688.0
1514.600,15560704.0
1444.900,15540224.0
1419.470,15646720.0
1414.370,15646720.0
1291.690,15638528.0
1289.650,15646720.0
1292.490,15572992.0
1287.810,15499264.0
1292.500,15532032.0
1286.690,15577088.0
1417.540,15577088.0
1410.620,15593472.0
