Run,Time(ms),Memory(Bytes)
1,2.102,7049216
2,2.104,6897664
3,2.066,6856704
4,2.028,6942720
5,2.059,6852608
6,2.088,6914048
7,2.033,6914048
8,2.081,6950912
9,2.034,6959104
10,2.074,6897664
11,2.001,7028736
12,2.023,6918144
13,2.079,7008256
14,2.040,6897664
15,2.057,7045120
16,2.218,6897664
17,2.062,6856704
18,2.074,6852608
19,2.107,6914048
20,2.109,6914048
21,2.114,6995968
22,2.089,6995968
23,2.100,7057408
24,2.082,6905856
25,2.042,6942720
26,2.054,6848512
27,2.062,7016448
28,2.110,6848512
29,2.072,6905856
30,2.096,6901760
31,2.129,6893568
32,2.045,6897664
33,2.114,6926336
34,2.035,7028736
35,2.009,6942720
36,2.043,6930432
37,2.033,6938624
38,2.043,7057408
39,2.058,7028736
40,2.061,6942720
41,2.110,6897664
42,2.087,6938624
43,2.070,6901760
44,2.044,7053312
45,2.076,6938624
46,2.069,7004160
47,2.028,7057408
48,2.298,6955008
49,2.098,6897664
50,2.026,6918144
51,2.080,6901760
52,2.221,6926336
53,2.040,7049216
54,2.178,6938624
55,2.190,6901760
56,2.062,6918144
57,2.085,6905856
58,2.114,6840320
59,2.029,7045120
60,2.046,6897664
61,2.060,6901760
62,2.015,7045120
63,2.085,7008256
64,2.052,6881280
65,2.064,6938624
66,2.058,6950912
67,2.009,7032832
68,2.049,6942720
69,2.079,7045120
70,2.257,7012352
71,2.076,6901760
72,2.056,7049216
73,2.060,7057408
74,2.138,6918144
75,2.034,6930432
76,2.083,7028736
77,2.164,6926336
78,2.042,6856704
79,2.082,7008256
80,2.202,6930432
81,2.028,7008256
82,2.115,6995968
83,2.152,6918144
84,2.100,7057408
85,2.072,6856704
86,2.067,6852608
87,2.024,6897664
88,2.069,6950912
89,2.038,7036928
90,2.030,6901760
91,2.087,7004160
92,122.654,7057408
93,2.047,7045120
94,2.100,6811648
95,2.072,6930432
96,2.032,7008256
97,2.220,7000064
98,2.112,7057408
99,2.066,7053312
100,2.097,7000064

Statistics:
Average Time,3.286 ms
Max Time,122.654 ms
Average Memory,6.631 MB
Max Memory,6.730 MB
