Run,Time(ms),Memory(Bytes)
1,595.625,6918144
2,720.619,6852608
3,720.374,6897664
4,594.522,7057408
5,722.823,6987776
6,721.417,6995968
7,721.587,6848512
8,597.403,6942720
9,723.084,7032832
10,724.997,6942720
11,724.910,7032832
12,723.724,6901760
13,720.122,6918144
14,763.968,6938624
15,722.164,7028736
16,720.279,6918144
17,596.951,6860800
18,718.942,6914048
19,720.000,7045120
20,718.282,6856704
21,718.431,6905856
22,594.289,6914048
23,719.543,6918144
24,720.861,6909952
25,724.380,6938624
26,596.857,6950912
27,722.214,6926336
28,720.582,6848512
29,720.378,6926336
30,594.886,6856704
31,723.632,7045120
32,725.183,7000064
33,721.529,6950912
34,724.331,7032832
35,721.798,6905856
36,724.978,6955008
37,596.120,7028736
38,721.312,7028736
39,597.696,6938624
40,722.905,7057408
41,723.952,7053312
42,718.492,6950912
43,593.604,6942720
44,719.976,6926336
45,722.316,7049216
46,719.486,7028736
47,719.170,6860800
48,594.368,7045120
49,721.018,6852608
50,721.725,6942720
51,718.369,7049216
52,595.111,7000064
53,720.065,6942720
54,717.303,6955008
55,721.595,6905856
56,720.043,7045120
57,718.875,6918144
58,720.429,6860800
59,598.216,6914048
60,721.538,6942720
61,722.203,6856704
62,595.321,6914048
63,720.246,6860800
64,720.931,7008256
65,719.117,7057408
66,721.508,7008256
67,598.419,7028736
68,721.996,6848512
69,721.962,6950912
70,722.130,6897664
71,725.827,6836224
72,725.830,6938624
73,721.952,7008256
74,594.515,6938624
75,723.318,6930432
76,723.005,6959104
77,725.983,7045120
78,595.508,6905856
79,721.186,7053312
80,719.061,7057408
81,592.975,7045120
82,719.920,6942720
83,722.999,7008256
84,719.822,7057408
85,592.335,7032832
86,717.368,6918144
87,719.607,6897664
88,720.403,7000064
89,596.657,6848512
90,720.555,6942720
91,721.050,6950912
92,721.841,7012352
93,597.111,6955008
94,723.919,7008256
95,724.281,7049216
96,721.423,6905856
97,723.934,6914048
98,721.965,6926336
99,722.579,6848512
100,724.384,7004160

Statistics:
Average Time,695.545 ms
Max Time,763.968 ms
Average Memory,6.633 MB
Max Memory,6.730 MB
