Run,Time(ms),Memory(Bytes)
1,725.289,6955008
2,726.953,6852608
3,728.773,6918144
4,728.146,6897664
5,728.721,7000064
6,726.582,6942720
7,732.874,6860800
8,727.242,6938624
9,730.849,6897664
10,726.329,6901760
11,732.789,6938624
12,726.586,6938624
13,602.318,7012352
14,723.323,6955008
15,729.477,7004160
16,603.360,7757824
17,730.264,6901760
18,726.894,7004160
19,602.019,6914048
20,724.645,6926336
21,728.551,6955008
22,728.404,6942720
23,726.260,7045120
24,730.137,7000064
25,728.177,6926336
26,757.602,6901760
27,728.788,6914048
28,728.165,6950912
29,727.489,6901760
30,730.397,7053312
31,732.357,6905856
32,601.857,7028736
33,732.008,6901760
34,731.610,7049216
35,728.881,6926336
36,727.128,6905856
37,604.851,6942720
38,724.314,7049216
39,727.215,6930432
40,730.082,6918144
41,728.485,6950912
42,726.775,7008256
43,601.238,7045120
44,731.577,6942720
45,729.323,6897664
46,726.812,6942720
47,727.072,7028736
48,727.016,7028736
49,729.015,6926336
50,727.292,6918144
51,601.551,7045120
52,732.999,7000064
53,727.956,6950912
54,729.068,6938624
55,729.668,6938624
56,604.630,6930432
57,730.115,6955008
58,728.076,7049216
59,729.633,6901760
60,729.245,6901760
61,601.562,7000064
62,733.913,6905856
63,726.015,6922240
64,727.380,6914048
65,602.760,6918144
66,727.099,7032832
67,730.125,6901760
68,602.586,7045120
69,730.768,7028736
70,727.561,6918144
71,731.642,6848512
72,734.018,6918144
73,728.181,6914048
74,729.977,6995968
75,726.532,6950912
76,604.287,6852608
77,726.003,7032832
78,728.573,6901760
79,601.673,6926336
80,730.541,7004160
81,726.927,6914048
82,606.089,7036928
83,731.326,6995968
84,726.684,6938624
85,728.805,6930432
86,729.414,7041024
87,602.866,7000064
88,726.227,6930432
89,727.336,7000064
90,601.005,6938624
91,723.742,6860800
92,728.107,6918144
93,602.674,7012352
94,728.212,6995968
95,727.295,6995968
96,606.153,7049216
97,727.975,6955008
98,727.104,6926336
99,601.570,6897664
100,726.728,7028736

Statistics:
Average Time,704.927 ms
Max Time,757.602 ms
Average Memory,6.640 MB
Max Memory,7.398 MB
