Run,Time(ms),Memory(Bytes)
1,1.008,6905856
2,0.872,6938624
3,0.872,6955008
4,0.879,6856704
5,0.871,6950912
6,0.889,6914048
7,0.865,6914048
8,0.897,6905856
9,0.981,6856704
10,0.944,7032832
11,0.892,6901760
12,1.114,7036928
13,0.932,6856704
14,0.875,6840320
15,0.892,6848512
16,0.901,7622656
17,0.884,7847936
18,0.876,6905856
19,0.882,6942720
20,0.860,6942720
21,0.887,6938624
22,0.886,7028736
23,0.953,6856704
24,0.881,6914048
25,0.890,6995968
26,0.876,6918144
27,0.887,6955008
28,0.879,6942720
29,0.913,6918144
30,0.875,6918144
31,0.878,7032832
32,0.884,6975488
33,0.888,6930432
34,117.456,6856704
35,0.895,6914048
36,0.966,7012352
37,0.863,6938624
38,0.917,6995968
39,0.855,6856704
40,1.004,6995968
41,0.905,7049216
42,0.879,6914048
43,0.883,7032832
44,0.913,7012352
45,0.909,6901760
46,0.882,6905856
47,0.871,7000064
48,0.894,6905856
49,0.917,7045120
50,0.922,6942720
51,0.910,7028736
52,0.916,6848512
53,0.909,6914048
54,0.872,6926336
55,0.853,6995968
56,0.851,6885376
57,0.864,7045120
58,0.883,6897664
59,0.889,7045120
60,0.857,6901760
61,0.850,6893568
62,0.911,6905856
63,0.907,7000064
64,0.914,6848512
65,0.883,6942720
66,0.972,6930432
67,0.923,6901760
68,0.886,6995968
69,0.881,6987776
70,0.884,6922240
71,0.899,6930432
72,0.907,6942720
73,0.895,6860800
74,0.879,6856704
75,0.920,6918144
76,0.877,6860800
77,0.878,6930432
78,0.885,6901760
79,118.366,6991872
80,0.854,7057408
81,0.877,6897664
82,0.884,6901760
83,0.896,6836224
84,0.910,7004160
85,0.852,6938624
86,0.879,6897664
87,0.943,6860800
88,0.861,6856704
89,1.049,7028736
90,0.909,6848512
91,0.884,6856704
92,0.903,7000064
93,0.979,6914048
94,0.851,6942720
95,0.890,6930432
96,0.921,6901760
97,0.898,6860800
98,0.925,6897664
99,0.893,6856704
100,1.349,6901760

Statistics:
Average Time,3.244 ms
Max Time,118.366 ms
Average Memory,6.626 MB
Max Memory,7.484 MB
