Run,Time(ms),Memory(Bytes)
1,4.918,11317248
2,4.958,11341824
3,4.914,11341824
4,4.805,11231232
5,4.926,11325440
6,4.743,11247616
7,4.808,11300864
8,4.863,11321344
9,4.911,11341824
10,5.103,11341824
11,4.860,11169792
12,4.784,11173888
13,4.730,11210752
14,4.950,11300864
15,4.831,11268096
16,4.783,11210752
17,4.833,11300864
18,4.997,11325440
19,4.778,11325440
20,4.759,11341824
21,4.830,11214848
22,4.772,11247616
23,4.913,11231232
24,4.776,11149312
25,4.792,11218944
26,4.778,11218944
27,7.286,11268096
28,4.776,11239424
29,4.817,11321344
30,4.777,11345920
31,5.009,11268096
32,4.907,11321344
33,4.844,11321344
34,5.008,11321344
35,4.904,11239424
36,4.846,11247616
37,4.762,11231232
38,4.753,11173888
39,4.842,11321344
40,5.044,11337728
41,4.739,11194368
42,4.969,11247616
43,4.991,11206656
44,5.358,11165696
45,4.821,11243520
46,4.825,11300864
47,4.811,11251712
48,4.949,11243520
49,5.178,11345920
50,5.096,11341824
51,5.026,11317248
52,4.754,11161600
53,4.722,11210752
54,4.704,11325440
55,4.981,11235328
56,4.857,11325440
57,4.915,11247616
58,4.897,11210752
59,4.794,11243520
60,5.286,11264000
61,4.856,11296768
62,5.042,11251712
63,4.921,11268096
64,4.894,11350016
65,5.345,11321344
66,4.860,11321344
67,4.920,11345920
68,5.230,11255808
69,4.781,11177984
70,5.187,11313152
71,5.002,11231232
72,5.024,11243520
73,5.209,11341824
74,4.820,11206656
75,5.067,11210752
76,5.941,11243520
77,4.887,11239424
78,4.826,11247616
79,4.872,11247616
80,4.818,11165696
81,4.835,11264000
82,4.773,11345920
83,5.161,11264000
84,5.269,11214848
85,4.965,11210752
86,4.815,11296768
87,4.828,11173888
88,4.800,11247616
89,4.970,11210752
90,5.047,11149312
91,5.018,11214848
92,5.099,11235328
93,5.200,11845632
94,5.095,11177984
95,4.989,11239424
96,5.058,11149312
97,5.464,11235328
98,4.844,11173888
99,4.764,11268096
100,4.744,11149312

Statistics:
Average Time,4.956 ms
Max Time,7.286 ms
Average Memory,10.742 MB
Max Memory,11.297 MB
