Run,Time(ms),Memory(Bytes)
1,3.276,11161600
2,3.382,10993664
3,3.297,11071488
4,3.292,11149312
5,3.161,11272192
6,3.214,10977280
7,3.095,11272192
8,3.124,11149312
9,3.186,11165696
10,3.189,11276288
11,3.234,11251712
12,3.194,11177984
13,3.145,11296768
14,3.285,10899456
15,3.156,11259904
16,3.249,11173888
17,3.217,11071488
18,3.303,11149312
19,3.184,11251712
20,3.251,10878976
21,3.203,11173888
22,3.242,11231232
23,3.186,11300864
24,3.142,11247616
25,3.273,11173888
26,3.146,11354112
27,3.170,11153408
28,3.215,11177984
29,3.227,11173888
30,126.894,10907648
31,3.180,11161600
32,3.145,11259904
33,3.326,11030528
34,3.271,11296768
35,3.224,11341824
36,3.212,11296768
37,3.156,11354112
38,3.193,11153408
39,3.226,11341824
40,3.130,11177984
41,3.182,11247616
42,3.238,11259904
43,3.516,10805248
44,3.223,11173888
45,3.245,10883072
46,3.339,11071488
47,3.234,10883072
48,3.291,11005952
49,3.229,11108352
50,3.217,11231232
51,3.362,10993664
52,3.550,10362880
53,3.238,11145216
54,3.274,11071488
55,3.606,10461184
56,3.344,10608640
57,3.369,10878976
58,3.197,11264000
59,3.299,10878976
60,3.312,10702848
61,3.308,10993664
62,3.336,10907648
63,3.207,11153408
64,3.341,10878976
65,3.278,10997760
66,3.186,11341824
67,3.154,11345920
68,3.172,11296768
69,3.227,11247616
70,3.273,10964992
71,3.218,10993664
72,3.254,10993664
73,3.404,9801728
74,3.270,10907648
75,3.227,11149312
76,3.201,11264000
77,3.380,11071488
78,3.225,11231232
79,3.152,11231232
80,3.246,11149312
81,3.374,10883072
82,3.898,10637312
83,3.308,10362880
84,3.222,11341824
85,3.447,10903552
86,3.200,11153408
87,3.238,11161600
88,3.306,10989568
89,3.312,10756096
90,3.223,11173888
91,3.241,11194368
92,3.227,11243520
93,3.225,10993664
94,3.218,11141120
95,3.255,11153408
96,3.343,10924032
97,3.256,11235328
98,3.236,11259904
99,3.203,11149312
100,3.160,11272192

Statistics:
Average Time,4.494 ms
Max Time,126.894 ms
Average Memory,10.568 MB
Max Memory,10.828 MB
