Run,Time(ms),Memory(Bytes)
1,698.282,11153408
2,706.646,11149312
3,703.332,11214848
4,576.351,11259904
5,573.911,11173888
6,568.192,11177984
7,571.702,11259904
8,564.971,11276288
9,697.563,11120640
10,696.891,11251712
11,694.065,11296768
12,697.608,11264000
13,693.229,11247616
14,696.790,11128832
15,702.758,11341824
16,700.051,11255808
17,703.526,11345920
18,699.531,11350016
19,581.907,11251712
20,579.915,11161600
21,737.537,11247616
22,702.268,11264000
23,704.655,11300864
24,698.709,11264000
25,696.651,11264000
26,702.248,11268096
27,581.710,11231232
28,582.947,11161600
29,578.948,11231232
30,578.075,11247616
31,574.219,11255808
32,696.628,11243520
33,700.817,11149312
34,700.069,11165696
35,696.598,11243520
36,699.337,11145216
37,691.545,11157504
38,699.189,11173888
39,698.444,11235328
40,571.727,11300864
41,571.086,11161600
42,572.927,11128832
43,568.260,11300864
44,568.051,11161600
45,564.744,11300864
46,573.710,11145216
47,567.386,11268096
48,571.209,11276288
49,578.994,11165696
50,571.239,11272192
51,574.369,11149312
52,570.567,11145216
53,693.389,11345920
54,696.558,11161600
55,694.666,11165696
56,690.470,11341824
57,694.718,11268096
58,696.771,11341824
59,692.915,11345920
60,693.883,11259904
61,693.579,11173888
62,699.597,11264000
63,692.646,11149312
64,694.605,11177984
65,688.044,11300864
66,688.115,11153408
67,565.196,11149312
68,570.604,11223040
69,690.900,11276288
70,697.972,11141120
71,701.401,11354112
72,697.626,11243520
73,576.629,11149312
74,573.419,11251712
75,579.526,11173888
76,575.356,11243520
77,575.562,11264000
78,701.557,11157504
79,693.633,11272192
80,695.817,11243520
81,703.560,11165696
82,700.097,11264000
83,699.328,11153408
84,702.767,11341824
85,700.250,11177984
86,574.724,11341824
87,573.925,11157504
88,572.052,11354112
89,571.594,11296768
90,580.420,11276288
91,696.543,11350016
92,694.938,11153408
93,701.300,11247616
94,694.293,11153408
95,696.510,11145216
96,694.824,11153408
97,697.144,11276288
98,692.548,11350016
99,689.034,11153408
100,693.855,11247616

Statistics:
Average Time,651.869 ms
Max Time,737.537 ms
Average Memory,10.710 MB
Max Memory,10.828 MB
