Run,Time(ms),Memory(Bytes)
1,479.101,11218944
2,355.348,11165696
3,479.893,11243520
4,479.093,11177984
5,481.928,11153408
6,479.443,11206656
7,480.590,11345920
8,358.184,11218944
9,481.047,11321344
10,481.847,11239424
11,480.138,11161600
12,480.934,11300864
13,481.636,11173888
14,478.885,11210752
15,478.069,11161600
16,478.413,11247616
17,478.928,11321344
18,478.713,11206656
19,479.142,11210752
20,478.611,11235328
21,355.518,11341824
22,479.161,11165696
23,481.357,11173888
24,354.895,11345920
25,481.462,11149312
26,480.389,11173888
27,356.342,11325440
28,478.095,11218944
29,479.132,11321344
30,479.882,11186176
31,481.604,11345920
32,480.195,11239424
33,478.596,11341824
34,479.713,11317248
35,480.214,11235328
36,482.734,11354112
37,479.540,11165696
38,482.896,11264000
39,355.708,11227136
40,481.375,11177984
41,480.505,11173888
42,354.749,11206656
43,481.731,11177984
44,480.085,11206656
45,354.834,11350016
46,482.686,11165696
47,479.012,11153408
48,481.707,11149312
49,481.515,11149312
50,481.397,11272192
51,355.269,11214848
52,480.861,11214848
53,479.936,11337728
54,479.845,11218944
55,480.227,11247616
56,480.192,11350016
57,482.351,11251712
58,485.680,11288576
59,478.736,11345920
60,480.249,11350016
61,476.695,11165696
62,481.073,11317248
63,480.900,11149312
64,480.099,11264000
65,478.974,11218944
66,480.163,11247616
67,354.877,11243520
68,480.423,11304960
69,483.195,11239424
70,355.415,11296768
71,481.557,11243520
72,482.401,11300864
73,352.999,11206656
74,479.969,11214848
75,480.002,11325440
76,479.557,11300864
77,480.909,11210752
78,480.281,11210752
79,478.194,11177984
80,354.050,11321344
81,478.443,11235328
82,476.778,11264000
83,478.022,11239424
84,481.105,11169792
85,480.327,11137024
86,480.474,11300864
87,481.197,11337728
88,481.220,11296768
89,482.244,11186176
90,355.151,11214848
91,481.584,11206656
92,480.268,11235328
93,481.507,11116544
94,357.153,11149312
95,479.189,11247616
96,481.141,11243520
97,355.115,11268096
98,479.095,11177984
99,480.293,11300864
100,354.870,11268096

Statistics:
Average Time,459.072 ms
Max Time,485.680 ms
Average Memory,10.719 MB
Max Memory,10.828 MB
