Run,Time(ms),Memory(Bytes)
1,1.175,6959104
2,1.167,6922240
3,1.191,7032832
4,1.129,6905856
5,1.127,7057408
6,1.130,6918144
7,1.120,6922240
8,1.152,7880704
9,1.169,6909952
10,1.189,6864896
11,1.208,7008256
12,1.132,6934528
13,1.149,6983680
14,4.342,11370496
15,1.093,6860800
16,1.240,6946816
17,4.403,11309056
18,4.253,11448320
19,1.125,7012352
20,122.761,7049216
21,1.055,7049216
22,1.132,6922240
23,4.215,11395072
24,1.159,6864896
25,4.503,11378688
26,1.236,7000064
27,4.448,11321344
28,1.121,6979584
29,1.161,7057408
30,1.143,6922240
31,4.259,11341824
32,1.515,6905856
33,1.125,6922240
34,1.264,7008256
35,4.341,11358208
36,1.315,6905856
37,1.151,6946816
38,1.154,6995968
39,1.204,6942720
40,1.237,6930432
41,1.139,6942720
42,4.223,11354112
43,1.186,7004160
44,1.166,6959104
45,1.124,7000064
46,1.203,6909952
47,4.350,11370496
48,1.174,6860800
49,1.223,7688192
50,1.189,6942720
51,1.105,7049216
52,1.205,6905856
53,4.469,11374592
54,4.412,11423744
55,1.184,6955008
56,1.155,6934528
57,1.195,6942720
58,1.224,7004160
59,1.092,6844416
60,1.179,7036928
61,6.349,11337728
62,1.155,6942720
63,4.433,11481088
64,1.126,6955008
65,1.247,6905856
66,4.363,11464704
67,1.395,6922240
68,123.374,11075584
69,1.152,7036928
70,1.142,6946816
71,4.319,11247616
72,1.188,6852608
73,1.181,7053312
74,1.135,6979584
75,1.171,7016448
76,1.190,6918144
77,1.170,7004160
78,1.727,7614464
79,1.215,6942720
80,1.475,7032832
81,1.098,6955008
82,1.109,6934528
83,1.182,6860800
84,4.580,11374592
85,1.166,7057408
86,1.104,6959104
87,1.263,7012352
88,1.151,6905856
89,4.614,11448320
90,1.200,6955008
91,1.058,7032832
92,4.437,11350016
93,1.234,6955008
94,1.076,6983680
95,1.196,6934528
96,1.158,6864896
97,1.146,6844416
98,1.115,6946816
99,4.447,11489280
100,1.156,6909952

Statistics:
Average Time,4.282 ms
Max Time,123.374 ms
Average Memory,7.538 MB
Max Memory,10.957 MB
