Run,Time(ms),Memory(Bytes)
1,287.571,11608064
2,298.933,11575296
3,300.906,11751424
4,297.708,11628544
5,305.864,11747328
6,424.385,11722752
7,416.748,11620352
8,422.694,11759616
9,415.328,11579392
10,293.320,11612160
11,290.872,11759616
12,294.903,11743232
13,296.883,11649024
14,289.767,11628544
15,420.776,11759616
16,417.884,11624448
17,290.835,11575296
18,295.663,11747328
19,287.838,11575296
20,295.775,11743232
21,419.816,11624448
22,416.743,11759616
23,413.813,11538432
24,294.640,11722752
25,291.330,11636736
26,295.855,11636736
27,290.751,11743232
28,302.235,11616256
29,291.170,11612160
30,416.466,11751424
31,425.557,11612160
32,291.389,11665408
33,294.902,11636736
34,419.469,11620352
35,294.811,11722752
36,291.616,11612160
37,300.379,11644928
38,290.862,11575296
39,289.511,11743232
40,419.874,11640832
41,289.959,11608064
42,294.153,11649024
43,297.596,11653120
44,293.098,11718656
45,292.450,11649024
46,415.909,11726848
47,417.942,11751424
48,294.276,11649024
49,300.467,11608064
50,287.937,11743232
51,295.544,11755520
52,289.797,11751424
53,420.725,11644928
54,425.714,11616256
55,425.086,11718656
56,423.415,11743232
57,293.388,11669504
58,291.891,11628544
59,294.506,11689984
60,420.146,11747328
61,419.906,11628544
62,421.291,11620352
63,296.229,11694080
64,292.332,11751424
65,299.393,11722752
66,293.081,11591680
67,413.767,11579392
68,421.090,11649024
69,292.506,11665408
70,290.381,11616256
71,299.194,11612160
72,287.087,11612160
73,416.675,11689984
74,296.308,11726848
75,298.143,11755520
76,291.830,11616256
77,295.794,11620352
78,430.164,11644928
79,423.414,11608064
80,426.191,11665408
81,289.578,11620352
82,296.195,11665408
83,302.941,11575296
84,288.570,11755520
85,296.494,11575296
86,416.810,11640832
87,416.360,11640832
88,296.678,11755520
89,287.173,11718656
90,285.673,11665408
91,416.914,11649024
92,419.479,11759616
93,423.979,11751424
94,292.539,11624448
95,290.661,11755520
96,329.754,11612160
97,295.523,11636736
98,289.655,11763712
99,293.665,11726848
100,294.824,11755520

Statistics:
Average Time,335.881 ms
Max Time,430.164 ms
Average Memory,11.129 MB
Max Memory,11.219 MB
