Run,Time(ms),Memory(Bytes)
1,9.560,7692288
2,9.217,7610368
3,8.645,6930432
4,135.099,7561216
5,15.663,11452416
6,134.824,7585792
7,10.552,7593984
8,10.085,7540736
9,10.850,7684096
10,9.296,7557120
11,10.712,7561216
12,10.119,7036928
13,9.752,7593984
14,9.102,7692288
15,10.184,7663616
16,11.216,7639040
17,9.543,7680000
18,13.962,11395072
19,9.859,7700480
20,10.166,7557120
21,8.898,7061504
22,9.532,7634944
23,134.446,7680000
24,10.573,7520256
25,133.630,7610368
26,8.382,6918144
27,14.852,11395072
28,10.439,7561216
29,9.597,7692288
30,9.758,7667712
31,8.783,6856704
32,10.492,7663616
33,10.295,7696384
34,9.587,7663616
35,9.795,7573504
36,10.153,7667712
37,10.120,7585792
38,15.900,11325440
39,14.367,11370496
40,8.807,6860800
41,10.139,7671808
42,9.842,7639040
43,16.879,11452416
44,9.407,7012352
45,10.505,7692288
46,133.244,7536640
47,9.908,7565312
48,10.847,7663616
49,10.845,7561216
50,9.878,7520256
51,13.914,11309056
52,10.342,7692288
53,9.210,7864320
54,9.943,7634944
55,14.727,11419648
56,15.841,11419648
57,9.056,7557120
58,9.679,7708672
59,13.806,11472896
60,15.007,11304960
61,13.858,11419648
62,10.660,7553024
63,14.664,11476992
64,9.062,7004160
65,9.742,7663616
66,9.584,7634944
67,10.236,7639040
68,9.040,7004160
69,10.027,6889472
70,14.041,11378688
71,138.321,11309056
72,9.581,7634944
73,133.605,7008256
74,9.077,6909952
75,9.456,7667712
76,10.060,7708672
77,8.775,7036928
78,9.941,7684096
79,9.687,7049216
80,9.512,7639040
81,9.669,7675904
82,10.233,7565312
83,11.828,7700480
84,11.617,7610368
85,16.660,11350016
86,9.045,7634944
87,10.034,7585792
88,9.748,7593984
89,10.079,7565312
90,13.912,11935744
91,9.598,7708672
92,140.401,11489280
93,9.807,6942720
94,133.630,7561216
95,9.658,7696384
96,9.845,7561216
97,10.503,7704576
98,9.363,7036928
99,9.120,7671808
100,9.945,7704576

Statistics:
Average Time,21.935 ms
Max Time,140.401 ms
Average Memory,7.830 MB
Max Memory,11.383 MB
