Run,Time(ms),Memory(Bytes)
1,0.110,6995968
2,0.116,6127616
3,0.119,6569984
4,0.120,6590464
5,0.114,6950912
6,0.109,6455296
7,0.117,6914048
8,0.116,6762496
9,0.117,6758400
10,0.116,6914048
11,0.109,7032832
12,0.121,6856704
13,0.110,6647808
14,0.110,7000064
15,0.119,6942720
16,0.153,6926336
17,0.109,7012352
18,0.109,6901760
19,0.111,6926336
20,0.151,6914048
21,0.109,7045120
22,0.153,7045120
23,0.113,6508544
24,0.111,7004160
25,0.111,6905856
26,0.112,6897664
27,0.114,6914048
28,0.109,6856704
29,0.109,6938624
30,0.110,6955008
31,0.111,6897664
32,0.109,6848512
33,0.119,6914048
34,0.120,6938624
35,0.110,7000064
36,0.112,6995968
37,0.110,7032832
38,0.109,6950912
39,0.110,6955008
40,0.113,7032832
41,0.116,7004160
42,0.120,7000064
43,0.132,6914048
44,0.109,6938624
45,0.114,6217728
46,0.109,7045120
47,0.115,7012352
48,0.115,7032832
49,0.115,7053312
50,0.109,7000064
51,0.109,6930432
52,0.118,6905856
53,0.131,6848512
54,0.117,6635520
55,0.127,6856704
56,0.110,6627328
57,0.109,6758400
58,0.114,6897664
59,0.111,6975488
60,0.109,6926336
61,0.110,7053312
62,0.109,6995968
63,0.109,6914048
64,0.109,7028736
65,0.109,6914048
66,0.113,7049216
67,0.112,6778880
68,0.113,6897664
69,0.119,7004160
70,0.131,7020544
71,0.116,6995968
72,0.109,6660096
73,0.220,7020544
74,0.109,6942720
75,0.110,6856704
76,0.108,7020544
77,0.109,6938624
78,0.113,6905856
79,0.112,7045120
80,0.111,6852608
81,0.109,6918144
82,0.116,6578176
83,0.109,6897664
84,0.111,6926336
85,0.109,7004160
86,0.150,6901760
87,0.119,6938624
88,0.110,6926336
89,0.109,7000064
90,0.111,6914048
91,0.112,7008256
92,0.109,7045120
93,0.116,6991872
94,0.151,6901760
95,0.116,6942720
96,0.154,6914048
97,0.109,6926336
98,0.160,6995968
99,0.132,7000064
100,0.125,6852608

Statistics:
Average Time,0.117 ms
Max Time,0.220 ms
Average Memory,6.579 MB
Max Memory,6.727 MB
