Run,Time(ms),Memory(Bytes)
1,544.254,13189120
2,539.514,13082624
3,553.617,13070336
4,537.610,13062144
5,665.583,13189120
6,660.580,13189120
7,536.332,13156352
8,536.027,13189120
9,662.392,13156352
10,535.655,13062144
11,534.086,13275136
12,541.056,13176832
13,537.244,13070336
14,659.556,13062144
15,536.277,13275136
16,534.978,13189120
17,534.492,13176832
18,660.026,13189120
19,535.068,13168640
20,533.476,13189120
21,538.034,13094912
22,661.205,13070336
23,659.541,13074432
24,533.193,13115392
25,538.013,13189120
26,535.666,13193216
27,536.624,13201408
28,663.028,13070336
29,533.143,13156352
30,537.963,13283328
31,537.480,13225984
32,659.040,13082624
33,535.160,13168640
34,535.246,13135872
35,535.313,13070336
36,660.904,13180928
37,535.850,13082624
38,533.551,13082624
39,537.756,13225984
40,662.675,13062144
41,543.657,13160448
42,533.856,13283328
43,533.713,13156352
44,657.346,13275136
45,658.541,13283328
46,534.252,13225984
47,536.940,13176832
48,541.512,13070336
49,542.597,13201408
50,535.692,13070336
51,659.223,13283328
52,540.953,13176832
53,533.994,13103104
54,537.631,13168640
55,535.783,13062144
56,661.581,13225984
57,534.773,13062144
58,536.536,13070336
59,537.495,13168640
60,658.619,13082624
61,536.913,13070336
62,535.803,13279232
63,663.904,13062144
64,661.499,13070336
65,535.349,13189120
66,538.215,13176832
67,536.770,13082624
68,660.299,13070336
69,535.810,13062144
70,661.562,13094912
71,536.266,13189120
72,541.588,13094912
73,536.404,13283328
74,662.071,13168640
75,659.698,13074432
76,535.307,13070336
77,534.734,13225984
78,534.535,13094912
79,659.835,13201408
80,535.217,13283328
81,541.026,13283328
82,536.797,13021184
83,660.179,13238272
84,534.243,13189120
85,537.089,13176832
86,535.606,13070336
87,664.695,13049856
88,663.223,13291520
89,661.579,13193216
90,536.953,13189120
91,537.377,13062144
92,533.977,13176832
93,662.033,13099008
94,535.852,13070336
95,535.982,13127680
96,658.957,13070336
97,660.420,13275136
98,538.012,13283328
99,569.799,13225984
100,536.395,13168640

Statistics:
Average Time,574.439 ms
Max Time,665.583 ms
Average Memory,12.544 MB
Max Memory,12.676 MB
