Run,Time(ms),Memory(Bytes)
1,557.963,13254656
2,554.984,13266944
3,556.801,13254656
4,557.069,13254656
5,555.334,13225984
6,554.775,13176832
7,556.205,13127680
8,556.178,13254656
9,556.950,13127680
10,555.223,13266944
11,556.379,13099008
12,553.962,13283328
13,558.266,13258752
14,558.486,13266944
15,558.706,13242368
16,682.088,13287424
17,681.929,13156352
18,555.723,13254656
19,554.714,13144064
20,681.272,13242368
21,681.149,13176832
22,680.799,13283328
23,684.788,13225984
24,681.071,13246464
25,685.398,13160448
26,557.087,13156352
27,555.269,13160448
28,556.976,13135872
29,555.517,13135872
30,555.928,13172736
31,561.134,13099008
32,555.865,13115392
33,555.457,13099008
34,555.344,13283328
35,555.950,13168640
36,560.554,13189120
37,555.363,13082624
38,556.613,13135872
39,680.290,13131776
40,682.460,13242368
41,683.011,13266944
42,679.246,13266944
43,685.704,13156352
44,684.243,13090816
45,679.951,13070336
46,681.623,13099008
47,678.327,13099008
48,554.941,13242368
49,556.538,13225984
50,681.805,13176832
51,681.303,13189120
52,681.851,13275136
53,554.927,13275136
54,554.955,13127680
55,554.823,13099008
56,553.424,13082624
57,558.217,13099008
58,558.016,13115392
59,558.167,13271040
60,556.532,13225984
61,558.178,13176832
62,556.774,13225984
63,556.015,13127680
64,554.654,13176832
65,557.907,13242368
66,683.775,13160448
67,681.819,13225984
68,682.466,13176832
69,682.743,13225984
70,682.783,13225984
71,683.076,13176832
72,684.245,13254656
73,682.210,13225984
74,683.363,13275136
75,681.450,13279232
76,681.691,13037568
77,683.434,13189120
78,556.926,13156352
79,684.326,13168640
80,680.848,13258752
81,683.325,13275136
82,680.958,13070336
83,680.003,13156352
84,681.985,13266944
85,682.834,13176832
86,682.248,13086720
87,682.662,13271040
88,681.967,13254656
89,685.744,13156352
90,679.916,13156352
91,558.449,13168640
92,558.393,13279232
93,690.801,13103104
94,690.991,13250560
95,682.263,13283328
96,692.134,13139968
97,681.863,13254656
98,684.967,13086720
99,681.519,13156352
100,682.387,13070336

Statistics:
Average Time,622.177 ms
Max Time,692.134 ms
Average Memory,12.579 MB
Max Memory,12.672 MB
