Run,Time(ms),Memory(Bytes)
1,14.984,7503872
2,15.155,7692288
3,15.163,7335936
4,15.188,7786496
5,15.338,7602176
6,15.140,7602176
7,15.130,7573504
8,15.087,7778304
9,15.069,7520256
10,15.131,7585792
11,15.065,7794688
12,14.941,7757824
13,15.157,7770112
14,15.085,7643136
15,15.012,7401472
16,14.867,7671808
17,14.890,7630848
18,14.996,7770112
19,14.845,7634944
20,15.097,7786496
21,14.981,7692288
22,15.036,7585792
23,15.215,7462912
24,15.203,7663616
25,14.954,7770112
26,14.995,7639040
27,14.934,7413760
28,14.925,7475200
29,15.612,7393280
30,14.950,7630848
31,15.011,7602176
32,14.959,7495680
33,15.284,7602176
34,140.793,7438336
35,15.275,7413760
36,138.660,7680000
37,14.999,7606272
38,140.409,7790592
39,15.183,7585792
40,138.721,7733248
41,15.060,7573504
42,140.740,7729152
43,15.103,7757824
44,139.549,7639040
45,14.943,7729152
46,140.387,7761920
47,15.094,7786496
48,15.022,7778304
49,15.231,7757824
50,14.976,7512064
51,14.844,7421952
52,15.113,7585792
53,15.039,7573504
54,15.218,7299072
55,19.871,7467008
56,14.975,7585792
57,15.354,7499776
58,15.263,7778304
59,14.961,7639040
60,15.433,7573504
61,154.131,7663616
62,15.046,7770112
63,20.008,7692288
64,15.027,7671808
65,15.524,7602176
66,14.985,7593984
67,15.224,7680000
68,14.969,7413760
69,15.709,7745536
70,15.022,7770112
71,15.461,7757824
72,15.182,7512064
73,15.005,7340032
74,14.971,7671808
75,14.969,7979008
76,15.111,7581696
77,15.009,7639040
78,14.955,7585792
79,15.098,7692288
80,14.973,7614464
81,15.116,7401472
82,15.410,7409664
83,14.916,7749632
84,14.993,7602176
85,15.022,7589888
86,14.972,7782400
87,15.437,7659520
88,15.077,7639040
89,15.296,7757824
90,139.004,7598080
91,15.351,7630848
92,138.895,7335936
93,15.143,7573504
94,139.732,7770112
95,15.102,7778304
96,138.851,7364608
97,15.158,7397376
98,15.352,7618560
99,15.104,7749632
100,14.996,7323648

Statistics:
Average Time,30.289 ms
Max Time,154.131 ms
Average Memory,7.264 MB
Max Memory,7.609 MB
