Run,Time(ms),Memory(Bytes)
1,0.315,6631424
2,0.293,6672384
3,0.277,6889472
4,0.261,6733824
5,0.304,6647808
6,0.268,6737920
7,0.295,6897664
8,0.314,7036928
9,0.278,7061504
10,0.290,7000064
11,0.307,6844416
12,0.445,6909952
13,0.303,6635520
14,0.307,6922240
15,0.284,6942720
16,0.365,6922240
17,0.285,6651904
18,0.312,6729728
19,0.293,6582272
20,0.284,6672384
21,0.350,6918144
22,0.290,6852608
23,0.279,6684672
24,0.274,6905856
25,0.269,7004160
26,0.303,7061504
27,0.286,7049216
28,0.317,6905856
29,0.277,6918144
30,0.309,7053312
31,0.294,6574080
32,0.282,7004160
33,0.300,6676480
34,0.300,7004160
35,0.327,6955008
36,0.295,6656000
37,0.292,6934528
38,0.303,6733824
39,0.289,7036928
40,0.285,6746112
41,0.292,7053312
42,0.284,6676480
43,0.267,6651904
44,0.279,6742016
45,0.295,7057408
46,0.283,6688768
47,0.302,6737920
48,0.281,7012352
49,0.279,6852608
50,0.281,6922240
51,0.331,6582272
52,0.301,7000064
53,0.320,7032832
54,0.272,6787072
55,0.315,6639616
56,0.292,7000064
57,0.318,6787072
58,0.275,6647808
59,0.320,7012352
60,0.286,6959104
61,0.273,6766592
62,0.307,6918144
63,0.279,6639616
64,0.304,6959104
65,0.295,6901760
66,0.282,7012352
67,0.310,7049216
68,0.307,6688768
69,0.297,6582272
70,0.315,6635520
71,0.304,6823936
72,0.329,6770688
73,0.300,7049216
74,0.281,6688768
75,0.514,6864896
76,0.298,6582272
77,0.284,6635520
78,0.278,6684672
79,0.281,6672384
80,0.273,7061504
81,0.282,7012352
82,0.297,6946816
83,0.270,6922240
84,0.306,6922240
85,0.301,6647808
86,0.304,6660096
87,0.286,6918144
88,0.299,6729728
89,0.312,6729728
90,0.340,6930432
91,0.275,7049216
92,0.307,6766592
93,0.281,7012352
94,0.343,6909952
95,0.262,6733824
96,0.271,7012352
97,0.315,7004160
98,0.292,6590464
99,0.279,6860800
100,0.296,6746112

Statistics:
Average Time,0.299 ms
Max Time,0.514 ms
Average Memory,6.521 MB
Max Memory,6.734 MB
