Run,Time(ms),Memory(Bytes)
1,509.622,7467008
2,511.309,7524352
3,501.395,7446528
4,512.773,7467008
5,509.815,7573504
6,498.392,7507968
7,513.464,7544832
8,501.333,7544832
9,505.414,7544832
10,507.084,7557120
11,512.614,7544832
12,507.848,7487488
13,516.743,7446528
14,505.472,7544832
15,516.522,7417856
16,501.633,7573504
17,509.045,7516160
18,516.933,7462912
19,510.105,7548928
20,506.030,7561216
21,517.461,7561216
22,510.325,7450624
23,511.009,7430144
24,512.007,7544832
25,509.640,7475200
26,504.640,7557120
27,502.450,7430144
28,514.546,7544832
29,512.687,7573504
30,511.416,7512064
31,664.386,7462912
32,507.629,7438336
33,506.712,7540736
34,508.031,7397376
35,512.209,7438336
36,506.171,7450624
37,504.526,7438336
38,506.723,7561216
39,498.115,7520256
40,503.367,7557120
41,500.080,7565312
42,524.776,7573504
43,505.527,7565312
44,510.559,7471104
45,520.791,7544832
46,507.455,7450624
47,638.465,7430144
48,501.161,7565312
49,646.777,7520256
50,508.664,7544832
51,517.597,7569408
52,511.320,7442432
53,515.139,7442432
54,512.631,7434240
55,508.459,7581696
56,509.726,7561216
57,507.526,7434240
58,504.878,7536640
59,509.032,7512064
60,505.031,7577600
61,508.254,7557120
62,507.948,7438336
63,523.135,7467008
64,632.300,7557120
65,510.702,7430144
66,514.952,7544832
67,512.537,7512064
68,502.309,7516160
69,503.878,7557120
70,503.312,7446528
71,516.000,7544832
72,522.774,7471104
73,496.140,7434240
74,503.155,7516160
75,503.092,7397376
76,502.566,7577600
77,513.049,7446528
78,503.394,7462912
79,503.258,7401472
80,504.664,7565312
81,503.622,7454720
82,501.691,7458816
83,636.608,7397376
84,547.885,7557120
85,511.004,7438336
86,636.439,7524352
87,507.127,7471104
88,508.177,7540736
89,512.813,7442432
90,496.034,7471104
91,510.540,7450624
92,514.663,7458816
93,507.115,7520256
94,501.803,7360512
95,635.980,7471104
96,517.548,7467008
97,505.559,7430144
98,515.906,7524352
99,510.847,7524352
100,635.710,7438336

Statistics:
Average Time,519.677 ms
Max Time,664.386 ms
Average Memory,7.150 MB
Max Memory,7.230 MB
