Run,Time(ms),Memory(Bytes)
1,150.444,7516160
2,27.566,7442432
3,150.644,7475200
4,27.739,7438336
5,150.640,7839744
6,26.512,7438336
7,150.341,7434240
8,26.493,7516160
9,151.304,7544832
10,27.120,7544832
11,151.434,7516160
12,26.956,7565312
13,26.823,7573504
14,26.744,7450624
15,27.786,7557120
16,26.945,7442432
17,27.206,7561216
18,27.191,7446528
19,26.467,7438336
20,26.267,7397376
21,27.032,7557120
22,27.398,7376896
23,27.153,7544832
24,26.462,7491584
25,26.891,7471104
26,26.687,7446528
27,26.726,7442432
28,151.736,7577600
29,26.387,7471104
30,149.347,7397376
31,27.504,7512064
32,151.976,7565312
33,26.842,7458816
34,151.244,7569408
35,26.982,7577600
36,151.488,7401472
37,27.567,7397376
38,26.809,7430144
39,26.862,7430144
40,27.223,7540736
41,27.233,7458816
42,26.296,7462912
43,26.843,7434240
44,27.063,7471104
45,26.849,7573504
46,26.817,7524352
47,27.547,7487488
48,27.876,7471104
49,27.250,7544832
50,27.104,7434240
51,27.224,7438336
52,27.340,7438336
53,27.191,7450624
54,27.459,7577600
55,26.845,7438336
56,26.774,7475200
57,151.432,7434240
58,28.235,7430144
59,151.786,7540736
60,27.209,7401472
61,151.663,7520256
62,27.677,7462912
63,150.892,7524352
64,27.837,7397376
65,151.969,7487488
66,27.643,7487488
67,151.745,7557120
68,27.550,7401472
69,151.618,7544832
70,26.862,7471104
71,149.645,7434240
72,27.629,7438336
73,150.547,7471104
74,27.034,7491584
75,150.499,7438336
76,26.422,7450624
77,26.669,7442432
78,27.053,7438336
79,26.804,7565312
80,28.066,7360512
81,27.648,7561216
82,27.313,7540736
83,27.380,7467008
84,27.320,7557120
85,28.318,7565312
86,27.804,7450624
87,27.134,7512064
88,27.241,7512064
89,27.921,7450624
90,26.300,7491584
91,27.209,7479296
92,26.834,7471104
93,27.872,7471104
94,27.602,7475200
95,26.574,7438336
96,27.813,7491584
97,27.421,7561216
98,27.443,7544832
99,28.777,7544832
100,27.961,7397376

Statistics:
Average Time,53.210 ms
Max Time,151.976 ms
Average Memory,7.140 MB
Max Memory,7.477 MB
