Run,Time(ms),Memory(Bytes)
1,0.324,6946816
2,0.330,7061504
3,0.312,6930432
4,0.310,7016448
5,0.311,6918144
6,0.350,6930432
7,0.330,6885376
8,0.341,6918144
9,0.325,6918144
10,0.365,6844416
11,0.311,6852608
12,0.325,7032832
13,0.329,6909952
14,0.322,6901760
15,0.350,6946816
16,0.339,6922240
17,0.317,6946816
18,0.335,6942720
19,0.345,6737920
20,0.351,6729728
21,0.326,6946816
22,0.317,6946816
23,0.477,6901760
24,0.317,7032832
25,0.318,7036928
26,0.323,6942720
27,0.333,6918144
28,0.349,6889472
29,0.324,6918144
30,0.325,6942720
31,0.332,6922240
32,0.337,7053312
33,0.332,6909952
34,0.328,6889472
35,0.321,6590464
36,0.321,6942720
37,0.399,7004160
38,0.332,7000064
39,0.329,6983680
40,0.352,6651904
41,0.340,6733824
42,0.330,6918144
43,0.342,7000064
44,0.331,7008256
45,0.313,6586368
46,0.311,6737920
47,0.319,7053312
48,0.326,6905856
49,0.311,6635520
50,0.313,7049216
51,0.340,6742016
52,0.324,6955008
53,0.340,6918144
54,0.325,6942720
55,0.322,6647808
56,0.332,6647808
57,0.411,6938624
58,0.347,6995968
59,0.324,6938624
60,0.332,6942720
61,0.315,6918144
62,0.322,7036928
63,0.332,6946816
64,0.314,7004160
65,0.316,7032832
66,0.340,7053312
67,0.392,6901760
68,0.345,7016448
69,0.322,6909952
70,0.335,6922240
71,0.316,6647808
72,0.331,6651904
73,0.433,7602176
74,0.318,6586368
75,0.323,6660096
76,0.322,6668288
77,0.356,7012352
78,0.372,6582272
79,0.430,7016448
80,0.321,6942720
81,0.361,7004160
82,0.336,6905856
83,0.325,6918144
84,0.339,6688768
85,0.337,6955008
86,0.311,7008256
87,0.328,6672384
88,0.331,6934528
89,0.335,7696384
90,0.346,6574080
91,0.365,6713344
92,0.327,6766592
93,0.333,6930432
94,0.339,6893568
95,0.317,6684672
96,0.432,7000064
97,0.320,6885376
98,0.339,7032832
99,0.315,6852608
100,0.347,7012352

Statistics:
Average Time,0.337 ms
Max Time,0.477 ms
Average Memory,6.583 MB
Max Memory,7.340 MB
