Run,Time(ms),Memory(Bytes)
1,0.255,6647808
2,0.252,6963200
3,0.283,6979584
4,0.311,6733824
5,0.278,6582272
6,0.299,6856704
7,0.302,6856704
8,0.289,7016448
9,0.323,6733824
10,0.308,7004160
11,0.283,7057408
12,0.286,6631424
13,0.285,6782976
14,0.301,6586368
15,0.295,6647808
16,0.293,6672384
17,0.291,6901760
18,0.302,7000064
19,0.272,6893568
20,0.264,6791168
21,0.291,6684672
22,0.293,6660096
23,0.329,6905856
24,0.264,6782976
25,0.300,6574080
26,0.257,6791168
27,0.272,6762496
28,0.294,6676480
29,0.305,6676480
30,0.297,7032832
31,0.270,7049216
32,0.321,6778880
33,0.243,6946816
34,0.280,6918144
35,0.429,7036928
36,0.265,6639616
37,0.262,6676480
38,0.298,6651904
39,0.252,6905856
40,0.253,6631424
41,0.247,6639616
42,0.392,7901184
43,0.261,6729728
44,0.303,6664192
45,0.294,6918144
46,0.274,6864896
47,0.275,6643712
48,0.371,6676480
49,0.312,7057408
50,0.282,6901760
51,0.234,6918144
52,0.286,6635520
53,0.305,6660096
54,0.283,6905856
55,0.319,6737920
56,0.264,6942720
57,0.324,7049216
58,0.248,6766592
59,0.324,6909952
60,0.249,6787072
61,0.263,6782976
62,0.349,6922240
63,0.276,7004160
64,0.295,6766592
65,0.445,7680000
66,0.284,6647808
67,0.247,6676480
68,0.293,6594560
69,0.309,6688768
70,0.303,6684672
71,0.286,6684672
72,0.289,6590464
73,0.276,6918144
74,0.269,7057408
75,0.299,7053312
76,0.282,6647808
77,0.355,6664192
78,0.314,6942720
79,0.305,6582272
80,0.288,6651904
81,0.253,6672384
82,0.295,6754304
83,0.434,7471104
84,0.241,6946816
85,0.278,6864896
86,0.268,7008256
87,0.275,6586368
88,0.271,7872512
89,0.283,6627328
90,0.302,6787072
91,0.297,6946816
92,0.300,6909952
93,0.296,6860800
94,0.326,7004160
95,0.270,6930432
96,0.338,7520256
97,0.264,6959104
98,0.297,6672384
99,0.264,6672384
100,0.297,6787072

Statistics:
Average Time,0.293 ms
Max Time,0.445 ms
Average Memory,6.528 MB
Max Memory,7.535 MB
